segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
1,normal,1,1,1,5,5,10,1.000000,2026-03-07T15:45:03.435,2026-03-07T15:45:03.435,2026-03-07T15:45:04.485,1050.0,2026-03-07T15:45:14.485,2026-03-07T15:45:15.712,1227.0,2026-03-07T15:45:25.712,2026-03-07T15:45:25.712,2026-03-07T15:45:26.517,805.0,2026-03-07T15:45:36.518,2026-03-07T15:46:26.518,2026-03-07T15:46:26.518,10.0,10.0,10.0,10.0,50.0,1,11.514426231384277,2026-03-07T15:46:01.518,archive/2026-03-07/standard_csv/raw_bytes_20260307_154603.csv,1,11.514426231384277
2,normal,2,1,1,15,15,30,1.000000,2026-03-07T15:46:26.518,2026-03-07T15:46:26.518,2026-03-07T15:46:27.271,753.0,2026-03-07T15:46:37.271,2026-03-07T15:46:38.395,1124.0,2026-03-07T15:46:48.396,2026-03-07T15:46:48.396,2026-03-07T15:46:49.077,681.0,2026-03-07T15:46:59.077,2026-03-07T15:47:49.078,2026-03-07T15:47:49.078,10.0,10.0,10.0,10.0,50.0,1,28.89260482788086,2026-03-07T15:47:24.078,archive/2026-03-07/standard_csv/raw_bytes_20260307_154726.csv,1,28.89260482788086
3,normal,3,1,1,22,22,45,1.000000,2026-03-07T15:47:49.078,2026-03-07T15:47:49.078,2026-03-07T15:47:50.885,1807.0,2026-03-07T15:48:00.885,2026-03-07T15:48:02.535,1650.0,2026-03-07T15:48:12.535,2026-03-07T15:48:12.535,2026-03-07T15:48:13.621,1086.0,2026-03-07T15:48:23.621,2026-03-07T15:49:13.622,2026-03-07T15:49:13.622,10.0,10.0,10.0,10.0,50.0,1,41.392826080322266,2026-03-07T15:48:48.621,archive/2026-03-07/standard_csv/raw_bytes_20260307_154850.csv,1,41.392826080322266
4,normal,4,1,1,30,30,60,1.000000,2026-03-07T15:49:13.622,2026-03-07T15:49:13.622,2026-03-07T15:49:14.895,1273.0,2026-03-07T15:49:24.895,2026-03-07T15:49:25.938,1043.0,2026-03-07T15:49:35.939,2026-03-07T15:49:35.939,2026-03-07T15:49:36.632,693.0,2026-03-07T15:49:46.632,2026-03-07T15:50:36.633,2026-03-07T15:50:36.633,10.0,10.0,10.0,10.0,50.0,1,54.61140441894531,2026-03-07T15:50:11.633,archive/2026-03-07/standard_csv/raw_bytes_20260307_155013.csv,1,54.61140441894531
5,normal,5,1,1,40,40,80,1.000000,2026-03-07T15:50:36.633,2026-03-07T15:50:36.634,2026-03-07T15:50:37.421,787.0,2026-03-07T15:50:47.422,2026-03-07T15:50:48.205,783.0,2026-03-07T15:50:58.205,2026-03-07T15:50:58.205,2026-03-07T15:50:59.892,1687.0,2026-03-07T15:51:09.892,2026-03-07T15:51:59.892,2026-03-07T15:51:59.892,10.0,10.0,10.0,10.0,50.0,1,72.80180358886719,2026-03-07T15:51:34.892,archive/2026-03-07/standard_csv/raw_bytes_20260307_155137.csv,1,72.80180358886719
6,normal,6,1,1,50,50,100,1.000000,2026-03-07T15:51:59.892,2026-03-07T15:51:59.892,2026-03-07T15:52:00.939,1047.0,2026-03-07T15:52:10.939,2026-03-07T15:52:11.973,1034.0,2026-03-07T15:52:21.973,2026-03-07T15:52:21.973,2026-03-07T15:52:23.071,1098.0,2026-03-07T15:52:33.071,2026-03-07T15:53:23.072,2026-03-07T15:53:23.072,10.0,10.0,10.0,10.0,50.0,1,90.33658599853516,2026-03-07T15:52:58.071,archive/2026-03-07/standard_csv/raw_bytes_20260307_155300.csv,1,90.33658599853516
7,normal,7,3,1,8,2,10,4.000000,2026-03-07T15:53:23.072,2026-03-07T15:53:23.072,2026-03-07T15:53:23.949,877.0,2026-03-07T15:53:33.949,2026-03-07T15:53:34.905,956.0,2026-03-07T15:53:44.906,2026-03-07T15:53:44.906,2026-03-07T15:53:46.577,1671.0,2026-03-07T15:53:56.577,2026-03-07T15:54:46.577,2026-03-07T15:54:46.577,10.0,10.0,10.0,10.0,50.0,1,10.979851722717285,2026-03-07T15:54:21.577,archive/2026-03-07/standard_csv/raw_bytes_20260307_155423.csv,1,10.979851722717285
8,normal,8,3,1,22,8,30,2.750000,2026-03-07T15:54:46.577,2026-03-07T15:54:46.577,2026-03-07T15:54:50.622,4045.0,2026-03-07T15:55:00.622,2026-03-07T15:55:01.529,907.0,2026-03-07T15:55:11.529,2026-03-07T15:55:11.530,2026-03-07T15:55:13.001,1471.0,2026-03-07T15:55:23.001,2026-03-07T15:56:13.002,2026-03-07T15:56:13.002,10.0,10.0,10.0,10.0,50.0,1,34.46224594116211,2026-03-07T15:55:48.001,archive/2026-03-07/standard_csv/raw_bytes_20260307_155550.csv,1,34.46224594116211
9,normal,9,3,1,34,11,45,3.090909,2026-03-07T15:56:13.002,2026-03-07T15:56:13.002,2026-03-07T15:56:13.812,810.0,2026-03-07T15:56:23.813,2026-03-07T15:56:24.874,1061.0,2026-03-07T15:56:34.874,2026-03-07T15:56:34.875,2026-03-07T15:56:36.110,1235.0,2026-03-07T15:56:46.110,2026-03-07T15:57:36.111,2026-03-07T15:57:36.111,10.0,10.0,10.0,10.0,50.0,1,50.41160202026367,2026-03-07T15:57:11.111,archive/2026-03-07/standard_csv/raw_bytes_20260307_155713.csv,1,50.41160202026367
10,normal,10,3,1,45,15,60,3.000000,2026-03-07T15:57:36.112,2026-03-07T15:57:36.112,2026-03-07T15:57:36.770,658.0,2026-03-07T15:57:46.771,2026-03-07T15:57:48.013,1242.0,2026-03-07T15:57:58.014,2026-03-07T15:57:58.014,2026-03-07T15:57:59.663,1649.0,2026-03-07T15:58:09.664,2026-03-07T15:58:59.664,2026-03-07T15:58:59.664,10.0,10.0,10.0,10.0,50.0,1,66.74545288085938,2026-03-07T15:58:34.664,archive/2026-03-07/standard_csv/raw_bytes_20260307_155836.csv,1,66.74545288085938
