segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
16,50,10,5.000000,60,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,70.50372314453125,1,master_time_fallback,,,2026-03-07 16:06:35.039,2026-03-07 16:07:25.039,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
17,67,13,5.153846,80,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,92.37089538574219,1,master_time_fallback,,,2026-03-07 16:07:57.768,2026-03-07 16:08:47.769,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
18,83,17,4.882353,100,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,114.91437530517578,1,master_time_fallback,,,2026-03-07 16:09:21.603,2026-03-07 16:10:11.603,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
19,9,1,9.000000,10,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,12.191542625427246,1,master_time_fallback,,,2026-03-07 16:10:45.069,2026-03-07 16:11:35.069,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
20,26,4,6.500000,30,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,37.651371002197266,1,master_time_fallback,,,2026-03-07 16:12:08.123,2026-03-07 16:12:58.123,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
21,39,6,6.500000,45,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,54.426090240478516,1,master_time_fallback,,,2026-03-07 16:13:31.615,2026-03-07 16:14:21.615,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
22,52,8,6.500000,60,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,71.754150390625,1,master_time_fallback,,,2026-03-07 16:14:55.596,2026-03-07 16:15:45.596,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
23,70,10,7.000000,80,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,94.64173126220703,1,master_time_fallback,,,2026-03-07 16:16:20.297,2026-03-07 16:17:10.297,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
24,88,12,7.333333,100,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,118.61151885986328,1,master_time_fallback,,,2026-03-07 16:17:45.472,2026-03-07 16:18:35.473,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
25,10,0,inf,10,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,13.469732284545898,1,master_time_fallback,,,2026-03-07 16:19:13.730,2026-03-07 16:20:03.730,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
26,30,0,inf,30,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,38.77362823486328,1,master_time_fallback,,,2026-03-07 16:20:43.673,2026-03-07 16:21:33.674,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
27,45,0,inf,45,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,58.327781677246094,1,master_time_fallback,,,2026-03-07 16:22:06.952,2026-03-07 16:22:56.953,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
28,60,0,inf,60,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,76.598876953125,1,master_time_fallback,,,2026-03-07 16:24:21.532,2026-03-07 16:25:11.532,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
29,80,0,inf,80,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,101.8234634399414,1,master_time_fallback,,,2026-03-07 16:25:45.218,2026-03-07 16:26:35.218,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
30,100,0,inf,100,27.99,1.0,4050.0,0.18395061728395062,0.10024691358024691,0.022469135802469137,0.023209876543209877,0.16072980017376196,122.81753540039062,1,master_time_fallback,,,2026-03-07 16:27:08.916,2026-03-07 16:27:58.916,91.0,745.0,406.0,66.0,2424.0,133.0,91.0,94.0,1462.0,1949.0
