PPFD,CO2,T,Pn
900,0,26,-3.154994006
800,0,26,-3.12741989
700,0,26,-3.132694927
600,0,26,-3.044908842
500,0,26,-2.947326342
400,0,26,-2.869038405
300,0,26,-2.691624972
200,0,26,-2.435688658
100,0,26,-1.965099487
50,0,26,-1.398108266
20,0,26,-1.156268472
0,0,26,-1.331487412
1900,2200,24,40.1321089
1700,2200,24,39.21449938
1500,2200,24,37.40367875
1300,2200,24,36.18434245
1100,2200,24,34.5075723
1000,2200,24,33.50813583
900,2200,24,32.58775625
800,2200,24,31.66500303
700,2200,24,29.28831116
600,2200,24,27.23246927
500,2200,24,23.58497152
400,2200,24,20.67182754
300,2200,24,15.93328823
200,2200,24,10.48128408
100,2200,24,4.502841195
50,2200,24,1.34571731
20,2200,24,-0.783197186
0,2200,24,-1.649961897
1900,1900,24,38.59311686
1700,1900,24,37.6861143
1500,1900,24,36.7566079
1300,1900,24,35.50038617
1100,1900,24,33.83091398
1000,1900,24,32.28439972
900,1900,24,31.98972463
800,1900,24,29.63910839
700,1900,24,28.00426665
600,1900,24,27.99563309
500,1900,24,25.85505444
400,1900,24,20.1188559
300,1900,24,17.77303271
200,1900,24,12.89162832
100,1900,24,4.688262491
50,1900,24,0.991283609
20,1900,24,-0.408407016
0,1900,24,-1.654288751
1900,1600,24,37.9672429
1700,1600,24,37.51537021
1500,1600,24,36.08158717
1300,1600,24,35.1911744
1100,1600,24,33.77653183
1000,1600,24,33.28692073
900,1600,24,32.42102723
800,1600,24,30.91937432
700,1600,24,29.14283422
600,1600,24,27.29661633
500,1600,24,24.55881766
400,1600,24,20.07685609
300,1600,24,16.30432501
200,1600,24,10.59315244
100,1600,24,4.69184282
50,1600,24,1.040542042
20,1600,24,-0.412674612
0,1600,24,-1.445013813
1900,1300,24,36.89089749
1700,1300,24,35.21415368
1500,1300,24,34.45311732
1300,1300,24,33.58359928
1100,1300,24,32.46410552
1000,1300,24,31.54255827
900,1300,24,30.77604693
800,1300,24,29.01711171
700,1300,24,28.5409864
600,1300,24,26.95246346
500,1300,24,23.06188847
400,1300,24,20.5301608
300,1300,24,15.15711567
200,1300,24,10.93465823
100,1300,24,4.248904207
50,1300,24,2.501029864
20,1300,24,0.323075451
0,1300,24,-0.674847262
1900,1000,24,32.88861102
1700,1000,24,30.11327533
1500,1000,24,29.84324378
1300,1000,24,28.85968948
1100,1000,24,25.38983698
1000,1000,24,24.55860076
900,1000,24,23.65213305
800,1000,24,22.02493892
700,1000,24,20.58709974
600,1000,24,18.13759452
500,1000,24,16.29144439
400,1000,24,14.90391467
300,1000,24,11.80225186
200,1000,24,8.944600059
100,1000,24,4.212071842
50,1000,24,1.446715818
20,1000,24,-0.350719063
0,1000,24,-1.152559019
1900,800,24,25.92470405
1700,800,24,24.65037033
1500,800,24,24.3772124
1300,800,24,23.77542357
1100,800,24,21.50789254
1000,800,24,20.77114535
900,800,24,19.85886368
800,800,24,18.7114572
700,800,24,16.23181908
600,800,24,16.19395413
500,800,24,14.69598091
400,800,24,12.47609762
300,800,24,9.810911575
200,800,24,6.86707718
100,800,24,3.411955519
50,800,24,0.887683088
20,800,24,-0.061929786
0,800,24,-0.707621645
1900,600,24,21.19875943
1700,600,24,20.73433844
1500,600,24,19.85913004
1300,600,24,18.50909753
1100,600,24,17.38363305
1000,600,24,17.61709483
900,600,24,16.62559808
800,600,24,15.51319841
700,600,24,14.38278324
600,600,24,14.32910715
500,600,24,12.21932805
400,600,24,11.39870814
300,600,24,9.302787483
200,600,24,5.964426773
100,600,24,2.216279241
50,600,24,0.690480072
20,600,24,-0.206171696
0,600,24,-0.82406654
1900,400,24,16.73705952
1700,400,24,16.20303062
1500,400,24,15.88946082
1300,400,24,15.17651161
1100,400,24,14.14020359
1000,400,24,13.62598557
900,400,24,12.98735853
800,400,24,12.72110424
700,400,24,11.75758054
600,400,24,10.63911826
500,400,24,9.752480039
400,400,24,8.818758013
300,400,24,6.44046107
200,400,24,5.893885804
100,400,24,1.949008931
50,400,24,0.540022091
20,400,24,-0.339573215
0,400,24,-1.027246575
1900,200,24,9.56717052
1700,200,24,8.45933456
1500,200,24,8.56950426
1300,200,24,8.39188059
1100,200,24,8.45860513
1000,200,24,7.22104447
900,200,24,7.10486965
800,200,24,7.83966513
700,200,24,7.41965845
600,200,24,7.828027364
500,200,24,6.995194342
400,200,24,6.868700997
300,200,24,5.400677623
200,200,24,4.674299234
100,200,24,2.287638206
50,200,24,0.961344754
20,200,24,0.037227413
0,200,24,-0.745678334
1900,0,24,-1.566547657
1700,0,24,-1.558988922
1500,0,24,-1.689114839
1300,0,24,-1.698071289
1100,0,24,-1.779902897
1000,0,24,-1.775352483
900,0,24,-1.774747934
800,0,24,-1.696972702
700,0,24,-1.781324966
600,0,24,-1.808073778
500,0,24,-1.781052589
400,0,24,-1.744197231
300,0,24,-1.687224363
200,0,24,-1.600601863
100,0,24,-1.504404301
50,0,24,-1.198058226
20,0,24,-0.992482247
0,0,24,-0.948616811
1900,2200,22,39.65698772
1700,2200,22,38.96535104
1500,2200,22,37.29048376
1300,2200,22,36.11094446
1100,2200,22,34.44146056
1000,2200,22,33.38016417
900,2200,22,32.36844198
800,2200,22,31.62958779
700,2200,22,29.22654122
600,2200,22,27.59065815
500,2200,22,23.06909166
400,2200,22,20.1700603
300,2200,22,15.01858412
200,2200,22,9.78421995
100,2200,22,4.816732692
50,2200,22,1.93686451
20,2200,22,0.140592328
0,2200,22,-1.143602185
1900,1900,22,38.42524442
1700,1900,22,37.9253085
1500,1900,22,36.22671111
1300,1900,22,35.6623931
1100,1900,22,34.76382785
1000,1900,22,33.63380902
900,1900,22,32.16095989
800,1900,22,30.61222884
700,1900,22,29.41820809
600,1900,22,27.69414933
500,1900,22,25.95430546
400,1900,22,20.47307141
300,1900,22,17.32786216
200,1900,22,12.13350226
100,1900,22,4.930578316
50,1900,22,1.824831159
20,1900,22,-0.183562031
0,1900,22,-1.280329087
1900,1600,22,38.25727917
1700,1600,22,37.9071115
1500,1600,22,36.4978597
1300,1600,22,35.67758432
1100,1600,22,33.8645765
1000,1600,22,33.26957303
900,1600,22,32.58665127
800,1600,22,31.0682433
700,1600,22,29.98901692
600,1600,22,27.28166113
500,1600,22,24.37527447
400,1600,22,20.57915936
300,1600,22,16.92931228
200,1600,22,10.42851
100,1600,22,4.85955006
50,1600,22,1.642227183
20,1600,22,-0.318297831
0,1600,22,-1.437483601
1900,1300,22,36.00745479
1700,1300,22,35.2168952
1500,1300,22,34.11122426
1300,1300,22,33.67386806
1100,1300,22,31.68854397
1000,1300,22,31.95264495
900,1300,22,30.26554188
800,1300,22,29.99971745
700,1300,22,28.63980692
600,1300,22,26.15013221
500,1300,22,23.61091378
400,1300,22,20.19258945
300,1300,22,15.21833304
200,1300,22,10.72884168
100,1300,22,4.280584543
50,1300,22,2.13236032
20,1300,22,-0.126826568
0,1300,22,-1.227980222
1900,1000,22,32.68865944
1700,1000,22,30.33047871
1500,1000,22,29.13872331
1300,1000,22,29.12887266
1100,1000,22,25.74926305
1000,1000,22,24.7143859
900,1000,22,24.11541769
800,1000,22,22.07607637
700,1000,22,20.5434532
600,1000,22,18.45917757
500,1000,22,16.75422702
400,1000,22,13.99010192
300,1000,22,11.1618689
200,1000,22,9.096131497
100,1000,22,3.464542849
50,1000,22,1.448873499
20,1000,22,-0.288546253
0,1000,22,-1.19771177
1900,800,22,26.74846924
1700,800,22,24.97578353
1500,800,22,23.93355786
1300,800,22,23.14617667
1100,800,22,21.99951187
1000,800,22,20.62363548
900,800,22,19.58904761
800,800,22,18.13831459
700,800,22,16.56961717
600,800,22,14.19651731
500,800,22,14.45298591
400,800,22,11.61732192
300,800,22,9.39206921
200,800,22,6.062090429
100,800,22,1.630104437
50,800,22,0.263848669
20,800,22,-0.554122428
0,800,22,-1.011306179
1900,600,22,21.55444805
1700,600,22,20.0901248
1500,600,22,19.0013323
1300,600,22,18.47544545
1100,600,22,17.58575937
1000,600,22,17.50616139
900,600,22,16.12948493
800,600,22,15.83984067
700,600,22,14.41182487
600,600,22,13.9399962
500,600,22,12.11751226
400,600,22,10.93313623
300,600,22,9.318562831
200,600,22,5.985765528
100,600,22,2.435801863
50,600,22,0.248806845
20,600,22,-0.635314198
0,600,22,-1.014966068
1900,400,22,15.3828593
1700,400,22,15.29568907
1500,400,22,14.9425783
1300,400,22,14.74402233
1100,400,22,13.71385138
1000,400,22,13.59970812
900,400,22,12.6791196
800,400,22,12.53267068
700,400,22,11.50785185
600,400,22,10.01904017
500,400,22,9.561428848
400,400,22,8.789073679
300,400,22,6.188812668
200,400,22,5.698244344
100,400,22,1.803120667
50,400,22,0.105985624
20,400,22,-0.603413761
0,400,22,-1.153422738
1900,200,22,9.550825868
1700,200,22,7.724304126
1500,200,22,7.567938237
1300,200,22,7.469941295
1100,200,22,7.10902834
1000,200,22,7.751687168
900,200,22,7.378165066
800,200,22,7.002949841
700,200,22,7.376731095
600,200,22,6.943636542
500,200,22,6.984296055
400,200,22,6.086749947
300,200,22,4.910734533
200,200,22,4.38457074
100,200,22,2.456070004
50,200,22,0.14822828
20,200,22,-0.707885145
0,200,22,-1.224823406
1900,0,22,-2.351216435
1700,0,22,-2.451609793
1500,0,22,-2.479646234
1300,0,22,-2.50872238
1100,0,22,-2.482951216
1000,0,22,-2.458604217
900,0,22,-2.433971896
800,0,22,-2.433517543
700,0,22,-2.431044571
600,0,22,-2.343496856
500,0,22,-2.302832636
400,0,22,-2.136369051
300,0,22,-2.032630657
200,0,22,-1.784883262
100,0,22,-1.452539749
50,0,22,-1.231938644
20,0,22,-1.043553439
0,0,22,-1.062091626
1900,2200,20,32.64764203
1700,2200,20,31
1500,2200,20,30.81950292
1300,2200,20,29.96903492
1100,2200,20,27.13700955
1000,2200,20,26.26395187
900,2200,20,24.28950835
800,2200,20,22.13757067
700,2200,20,20.98065127
600,2200,20,18.86291427
500,2200,20,16.37000418
400,2200,20,14.82530466
300,2200,20,12.1672847
200,2200,20,9.112912486
100,2200,20,3.111374781
50,2200,20,1.091230093
20,2200,20,0.176971096
0,2200,20,-0.046348445
1900,1900,20,30.80217778
1700,1900,20,29.77350717
1500,1900,20,28.9032871
1300,1900,20,27.8545847
1100,1900,20,26.59746983
1000,1900,20,26.16536593
900,1900,20,25.55956154
800,1900,20,23.62393798
700,1900,20,20.29875167
600,1900,20,19.91970781
500,1900,20,17.35093569
400,1900,20,15.48546853
300,1900,20,11.12189295
200,1900,20,8.643645048
100,1900,20,3.56667645
50,1900,20,1.08178638
20,1900,20,0.149597326
0,1900,20,-0.369875036
1900,1600,20,30.52442344
1700,1600,20,29.93733053
1500,1600,20,28.91593887
1300,1600,20,27.70072533
1100,1600,20,25.23613358
1000,1600,20,24.33927637
900,1600,20,23.10614033
800,1600,20,21.98987301
700,1600,20,20.80958333
600,1600,20,19.38569122
500,1600,20,17.81110524
400,1600,20,16.37097352
300,1600,20,14.89732156
200,1600,20,9.059001311
100,1600,20,3.798706129
50,1600,20,1.083645097
20,1600,20,-0.151490902
0,1600,20,-0.683590092
1900,1300,20,29.57217688
1700,1300,20,28.3275898
1500,1300,20,27.69555311
1300,1300,20,26.74916314
1100,1300,20,24.92897368
1000,1300,20,24.13416505
900,1300,20,22.96102431
800,1300,20,20.13117248
700,1300,20,18.45202873
600,1300,20,17.00634719
500,1300,20,16.93803648
400,1300,20,15.76088104
300,1300,20,13.94191007
200,1300,20,9.364784642
100,1300,20,4.295548612
50,1300,20,1.193051861
20,1300,20,0.068858646
0,1300,20,-1.130949214
1900,1000,20,25.88074392
1700,1000,20,24.81711582
1500,1000,20,23.04079263
1300,1000,20,22.46791156
1100,1000,20,20.73543904
1000,1000,20,19.03483365
900,1000,20,18.4089796
800,1000,20,17.32869078
700,1000,20,16.25289279
600,1000,20,15.0978359
500,1000,20,14.40530686
400,1000,20,13.35824817
300,1000,20,10.78830914
200,1000,20,7.955667571
100,1000,20,2.34600402
50,1000,20,0.72022842
20,1000,20,0.011019034
0,1000,20,-0.711629369
1900,800,20,23.83466959
1700,800,20,22.14980202
1500,800,20,21.37068863
1300,800,20,20.79843244
1100,800,20,18.97749672
1000,800,20,17.3290191
900,800,20,15.74930738
800,800,20,15.29716075
700,800,20,14.61122731
600,800,20,13.83646592
500,800,20,11.55779465
400,800,20,10.23404177
300,800,20,8.009085883
200,800,20,5.80617976
100,800,20,2.440153331
50,800,20,0.832770005
20,800,20,-0.371265851
0,800,20,-0.898434675
1900,600,20,19.42140132
1700,600,20,19.28789227
1500,600,20,18.22365912
1300,600,20,17.92906839
1100,600,20,17.70015705
1000,600,20,16.52620403
900,600,20,15.12990621
800,600,20,14.64458527
700,600,20,13.66802706
600,600,20,12.72535507
500,600,20,11.85173184
400,600,20,10.05184767
300,600,20,8.187591003
200,600,20,5.666076544
100,600,20,2.427685965
50,600,20,0.748792772
20,600,20,-0.373546356
0,600,20,-1.179335019
1900,400,20,15.09439737
1700,400,20,14.31954161
1500,400,20,13.54725177
1300,400,20,12.47965353
1100,400,20,11.33652436
1000,400,20,11.06282315
900,400,20,10.82454051
800,400,20,10.69906043
700,400,20,10.50712413
600,400,20,9.914509577
500,400,20,9.325517176
400,400,20,8.343162996
300,400,20,5.503103156
200,400,20,4.261663207
100,400,20,1.855058467
50,400,20,0.497148502
20,400,20,-0.243668067
0,400,20,-0.94312523
1900,200,20,7.351013798
1700,200,20,6.109200655
1500,200,20,6.026787218
1300,200,20,6.056298174
1100,200,20,6.132113859
1000,200,20,6.845174744
900,200,20,6.78715847
800,200,20,6.747694291
700,200,20,6.605881257
600,200,20,5.521457449
500,200,20,5.882415576
400,200,20,4.725565419
300,200,20,3.677508018
200,200,20,3.198867148
100,200,20,1.416630295
50,200,20,0.267241897
20,200,20,-0.458058762
0,200,20,-0.853970923
1900,0,20,-0.392242115
1700,0,20,-0.414734582
1500,0,20,-0.320627356
1300,0,20,-0.340105731
1100,0,20,-0.314690492
1000,0,20,-0.361502689
900,0,20,-0.311986859
800,0,20,-0.300868807
700,0,20,-0.283484109
600,0,20,-0.289549504
500,0,20,-0.290833038
400,0,20,-0.332345398
300,0,20,-0.295848305
200,0,20,-0.277168822
100,0,20,-0.314064349
50,0,20,-0.340888878
20,0,20,-0.454033115
0,0,20,-0.508965565
1900,2200,16,23.21722
1700,2200,16,22.38933845
1500,2200,16,21.6673458
1300,2200,16,20.74218079
1100,2200,16,19.49855728
1000,2200,16,19.30354172
900,2200,16,18.09110297
800,2200,16,17.63982009
700,2200,16,16.93182111
600,2200,16,15.67281576
500,2200,16,14.63179252
400,2200,16,12.60048916
300,2200,16,10.26923086
200,2200,16,7.355436369
100,2200,16,3.634825515
50,2200,16,1.55738752
20,2200,16,0.443660908
0,2200,16,-0.610723369
1900,1900,16,24.28650804
1700,1900,16,22.41224682
1500,1900,16,21.87123686
1300,1900,16,20.82628999
1100,1900,16,19.65681671
1000,1900,16,19.2371915
900,1900,16,18.52507975
800,1900,16,17.82249197
700,1900,16,17.18727516
600,1900,16,15.92949109
500,1900,16,14.46508961
400,1900,16,12.95459317
300,1900,16,10.5593245
200,1900,16,7.452653168
100,1900,16,3.390978923
50,1900,16,1.487249788
20,1900,16,-0.010745043
0,1900,16,-0.290924618
1900,1600,16,23.67271191
1700,1600,16,22.86883253
1500,1600,16,21.81459847
1300,1600,16,21.12130195
1100,1600,16,19.83495804
1000,1600,16,19.20536586
900,1600,16,18.8771403
800,1600,16,17.77335014
700,1600,16,17.05598463
600,1600,16,16.29822858
500,1600,16,14.90770702
400,1600,16,13.41221045
300,1600,16,11.25048474
200,1600,16,8.233904739
100,1600,16,3.880383687
50,1600,16,1.850167298
20,1600,16,0.438027029
0,1600,16,-0.826879746
1900,1300,16,21.03085276
1700,1300,16,20.73700396
1500,1300,16,20.06637822
1300,1300,16,19.48676746
1100,1300,16,18.34968317
1000,1300,16,18.26045364
900,1300,16,17.32423078
800,1300,16,16.35136985
700,1300,16,15.35196348
600,1300,16,14.68601325
500,1300,16,13.6029525
400,1300,16,12.33861416
300,1300,16,10.40945097
200,1300,16,7.806782714
100,1300,16,4.089911965
50,1300,16,1.541725998
20,1300,16,0.310290631
0,1300,16,-1.052357217
1900,1000,16,20.25182916
1700,1000,16,20.11577763
1500,1000,16,19.09688845
1300,1000,16,18.46275938
1100,1000,16,17.53370058
1000,1000,16,17.06425048
900,1000,16,16.00760325
800,1000,16,15.2731223
700,1000,16,14.31683573
600,1000,16,13.10663893
500,1000,16,12.64970762
400,1000,16,11.18039244
300,1000,16,9.141628354
200,1000,16,6.017155753
100,1000,16,2.283016746
50,1000,16,0.925944293
20,1000,16,0.100461971
0,1000,16,-0.581074743
1900,800,16,18.94806128
1700,800,16,18.93338131
1500,800,16,18.45802709
1300,800,16,17.77127512
1100,800,16,16.82348386
1000,800,16,16.25767135
900,800,16,14.92920661
800,800,16,14.5581307
700,800,16,13.2886923
600,800,16,12.11941427
500,800,16,10.88359095
400,800,16,9.219454531
300,800,16,7.177564164
200,800,16,4.932486796
100,800,16,2.48106449
50,800,16,0.975701728
20,800,16,0.093447269
0,800,16,-0.553581457
1900,600,16,16.51539145
1700,600,16,15.66222446
1500,600,16,15.19440048
1300,600,16,14.98587348
1100,600,16,13.2198739
1000,600,16,12.60496258
900,600,16,11.87536977
800,600,16,11.30385806
700,600,16,10.27214749
600,600,16,10.11795393
500,600,16,8.8447765
400,600,16,8.209704646
300,600,16,7.429967006
200,600,16,5.026888663
100,600,16,2.19955583
50,600,16,0.916857059
20,600,16,0.120261489
0,600,16,-0.548104378
1900,400,16,12.45928251
1700,400,16,11.46572673
1500,400,16,11.45416284
1300,400,16,10.9223092
1100,400,16,10.47020374
1000,400,16,10.10616872
900,400,16,9.78393306
800,400,16,9.64019059
700,400,16,9.44179371
600,400,16,8.46248265
500,400,16,8.31781208
400,400,16,7.723708262
300,400,16,4.076502575
200,400,16,3.874494337
100,400,16,1.42027633
50,400,16,0.935380525
20,400,16,0.176486104
0,400,16,-0.599220624
1900,200,16,6.45538265
1700,200,16,5.27171327
1500,200,16,5.25689073
1300,200,16,5.10065647
1100,200,16,5.647448065
1000,200,16,5.431209142
900,200,16,6.19352169
800,200,16,5.912500243
700,200,16,5.397180377
600,200,16,4.98827452
500,200,16,4.76231282
400,200,16,4.436352628
300,200,16,3.279823534
200,200,16,2.825124747
100,200,16,1.068881389
50,200,16,0.80208178
20,200,16,0.043728696
0,200,16,-0.428382629
1900,0,16,-1.348352739
1700,0,16,-1.30261148
1500,0,16,-1.199704016
1300,0,16,-1.287381217
1100,0,16,-1.385514644
1000,0,16,-1.242801935
900,0,16,-1.296486632
800,0,16,-1.189487587
700,0,16,-1.232237266
600,0,16,-1.184727075
500,0,16,-1.151801563
400,0,16,-1.029554261
300,0,16,-1.082690064
200,0,16,-1.017712059
100,0,16,-0.942529035
50,0,16,-0.788423045
20,0,16,-0.825998263
0,0,16,-0.847594094
