entity_id,state,last_changed
sensor.greenpi_arduino_nano_roomtemp_temperature,32.03,2025-11-02T10:56:03.036000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.07,2025-11-02T10:57:43.121000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.09,2025-11-02T10:59:23.179000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.12,2025-11-02T11:02:43.314000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.14,2025-11-02T11:04:23.404000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.13,2025-11-02T11:06:03.460000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.14,2025-11-02T11:07:43.547000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.17,2025-11-02T11:09:23.627000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.21,2025-11-02T11:11:03.682000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.24,2025-11-02T11:12:43.767000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.22,2025-11-02T11:14:23.851000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.27,2025-11-02T11:16:03.941000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.29,2025-11-02T11:17:43.991000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.33,2025-11-02T11:21:04.128000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.36,2025-11-02T11:22:44.176000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.39,2025-11-02T11:24:24.271000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.42,2025-11-02T11:26:04.408000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.47,2025-11-02T11:29:24.490000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.46,2025-11-02T11:31:04.544000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.47,2025-11-02T11:34:24.730000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.51,2025-11-02T11:36:04.797000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.55,2025-11-02T11:39:24.986000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.57,2025-11-02T11:41:05.043000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.59,2025-11-02T11:46:05.284000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.62,2025-11-02T11:47:45.335000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.66,2025-11-02T11:51:05.480000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.62,2025-11-02T11:52:45.569000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.66,2025-11-02T11:54:25.658000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.67,2025-11-02T11:56:05.705000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.69,2025-11-02T11:57:45.798000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.71,2025-11-02T11:59:25.897000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.74,2025-11-02T12:01:05.970000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.76,2025-11-02T12:02:46.061000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.73,2025-11-02T12:04:26.155000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.77,2025-11-02T12:06:06.222000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.8,2025-11-02T12:09:26.392000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.81,2025-11-02T12:11:06.487000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.85,2025-11-02T12:16:06.730000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.84,2025-11-02T12:17:46.818000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.86,2025-11-02T12:19:26.906000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.84,2025-11-02T12:21:07.000000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.85,2025-11-02T12:22:47.144000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.89,2025-11-02T12:24:27.195000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.92,2025-11-02T12:26:07.290000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.95,2025-11-02T12:27:47.377000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.97,2025-11-02T12:31:07.549000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.99,2025-11-02T12:34:27.732000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.67,2025-11-02T12:37:47.869000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.57,2025-11-02T12:39:27.965000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.65,2025-11-02T12:41:08.049000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.76,2025-11-02T12:42:48.103000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.82,2025-11-02T12:44:28.196000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.86,2025-11-02T12:46:08.281000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.93,2025-11-02T12:47:48.448000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,32.99,2025-11-02T12:49:28.472000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.03,2025-11-02T12:51:08.564000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.08,2025-11-02T12:54:28.746000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.11,2025-11-02T12:56:08.839000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.15,2025-11-02T12:57:48.924000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.21,2025-11-02T12:59:29.026000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.23,2025-11-02T13:01:09.114000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.25,2025-11-02T13:02:49.219000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.32,2025-11-02T13:04:29.301000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.36,2025-11-02T13:06:09.399000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.37,2025-11-02T13:07:49.441000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.44,2025-11-02T13:09:29.525000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.51,2025-11-02T13:12:49.722000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.52,2025-11-02T13:14:29.816000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.58,2025-11-02T13:16:09.895000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.65,2025-11-02T13:17:49.995000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.69,2025-11-02T13:19:30.149000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.7,2025-11-02T13:21:10.181000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.73,2025-11-02T13:22:50.322000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.78,2025-11-02T13:24:30.387000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.81,2025-11-02T13:26:10.451000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.84,2025-11-02T13:29:30.647000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.85,2025-11-02T13:31:10.715000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.91,2025-11-02T13:32:50.764000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.95,2025-11-02T13:34:30.853000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,33.96,2025-11-02T13:36:10.938000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.0,2025-11-02T13:37:51.046000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.05,2025-11-02T13:39:31.134000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.07,2025-11-02T13:41:11.227000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.11,2025-11-02T13:42:51.318000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.13,2025-11-02T13:44:31.405000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.16,2025-11-02T13:46:11.483000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.22,2025-11-02T13:47:51.584000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.24,2025-11-02T13:49:31.673000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.26,2025-11-02T13:51:11.762000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.31,2025-11-02T13:52:51.836000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.34,2025-11-02T13:56:12.003000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.35,2025-11-02T13:57:52.097000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.38,2025-11-02T13:59:32.169000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.41,2025-11-02T14:01:12.251000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.44,2025-11-02T14:02:52.398000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.48,2025-11-02T14:04:32.434000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.52,2025-11-02T14:06:12.509000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.53,2025-11-02T14:07:52.608000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.55,2025-11-02T14:09:32.706000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.61,2025-11-02T14:11:12.793000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.66,2025-11-02T14:14:33.068000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.67,2025-11-02T14:16:13.094000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.71,2025-11-02T14:19:33.281000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.72,2025-11-02T14:21:13.397000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.76,2025-11-02T14:22:53.489000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.78,2025-11-02T14:24:33.504000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.79,2025-11-02T14:26:13.668000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.82,2025-11-02T14:29:33.786000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.86,2025-11-02T14:31:13.857000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.89,2025-11-02T14:32:54.017000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.93,2025-11-02T14:34:34.037000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,34.94,2025-11-02T14:36:14.168000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.0,2025-11-02T14:37:54.286000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.01,2025-11-02T14:41:14.410000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.02,2025-11-02T14:42:54.485000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.04,2025-11-02T14:44:34.576000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.07,2025-11-02T14:46:14.665000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.11,2025-11-02T14:49:34.899000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.13,2025-11-02T14:51:14.932000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.19,2025-11-02T14:54:35.115000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.2,2025-11-02T14:56:15.198000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.23,2025-11-02T14:57:55.306000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.22,2025-11-02T14:59:35.391000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.26,2025-11-02T15:01:15.483000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.3,2025-11-02T15:02:55.585000Z
sensor.greenpi_arduino_nano_roomtemp_temperature,35.33,2025-11-02T15:06:15.822000Z
