segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
11,normal,11,3,1,60,20,80,3.000000,2026-03-08T14:36:26.773,2026-03-08T14:36:26.773,2026-03-08T14:36:27.590,817.0,2026-03-08T14:36:37.590,2026-03-08T14:36:38.568,978.0,2026-03-08T14:36:48.569,2026-03-08T14:36:48.569,2026-03-08T14:36:49.203,634.0,2026-03-08T14:36:59.203,2026-03-08T14:37:49.203,2026-03-08T14:37:49.203,10.0,10.0,10.0,10.0,50.0,1,103.57862091064453,2026-03-08T14:37:24.203,archive/2026-03-08/standard_csv/raw_bytes_20260308_143726.csv,1,103.57862091064453
12,normal,12,3,1,75,25,100,3.000000,2026-03-08T14:37:49.204,2026-03-08T14:37:49.204,2026-03-08T14:37:50.026,822.0,2026-03-08T14:38:00.027,2026-03-08T14:38:00.676,649.0,2026-03-08T14:38:10.677,2026-03-08T14:38:10.677,2026-03-08T14:38:11.743,1066.0,2026-03-08T14:38:21.743,2026-03-08T14:39:11.744,2026-03-08T14:39:11.744,10.0,10.0,10.0,10.0,50.0,1,129.18247985839844,2026-03-08T14:38:46.743,archive/2026-03-08/standard_csv/raw_bytes_20260308_143848.csv,1,129.18247985839844
13,normal,13,5,1,8,2,10,4.000000,2026-03-08T14:39:11.744,2026-03-08T14:39:11.744,2026-03-08T14:39:12.252,508.0,2026-03-08T14:39:22.252,2026-03-08T14:39:23.482,1230.0,2026-03-08T14:39:33.482,2026-03-08T14:39:33.482,2026-03-08T14:39:34.662,1180.0,2026-03-08T14:39:44.662,2026-03-08T14:40:34.663,2026-03-08T14:40:34.663,10.0,10.0,10.0,10.0,50.0,1,13.086856842041016,2026-03-08T14:40:09.663,archive/2026-03-08/standard_csv/raw_bytes_20260308_144011.csv,1,13.086856842041016
14,normal,14,5,1,25,5,30,5.000000,2026-03-08T14:40:34.663,2026-03-08T14:40:34.663,2026-03-08T14:40:35.411,748.0,2026-03-08T14:40:45.412,2026-03-08T14:40:46.938,1526.0,2026-03-08T14:40:56.938,2026-03-08T14:40:56.938,2026-03-08T14:40:57.731,793.0,2026-03-08T14:41:07.731,2026-03-08T14:41:57.732,2026-03-08T14:41:57.732,10.0,10.0,10.0,10.0,50.0,1,42.655399322509766,2026-03-08T14:41:32.732,archive/2026-03-08/standard_csv/raw_bytes_20260308_144134.csv,1,42.655399322509766
15,normal,15,5,1,38,8,45,4.750000,2026-03-08T14:41:57.732,2026-03-08T14:41:57.732,2026-03-08T14:41:58.279,547.0,2026-03-08T14:42:08.279,2026-03-08T14:42:09.205,926.0,2026-03-08T14:42:19.205,2026-03-08T14:42:19.205,2026-03-08T14:42:20.413,1208.0,2026-03-08T14:42:30.413,2026-03-08T14:43:20.413,2026-03-08T14:43:20.413,10.0,10.0,10.0,10.0,50.0,1,64.46773529052734,2026-03-08T14:42:55.413,archive/2026-03-08/standard_csv/raw_bytes_20260308_144257.csv,1,64.46773529052734
16,normal,16,5,1,50,10,60,5.000000,2026-03-08T14:43:20.413,2026-03-08T14:43:20.413,2026-03-08T14:43:20.934,521.0,2026-03-08T14:43:30.934,2026-03-08T14:43:32.027,1093.0,2026-03-08T14:43:42.027,2026-03-08T14:43:42.027,2026-03-08T14:43:43.388,1361.0,2026-03-08T14:43:53.388,2026-03-08T14:44:43.389,2026-03-08T14:44:43.389,10.0,10.0,10.0,10.0,50.0,1,82.45088195800781,2026-03-08T14:44:18.389,archive/2026-03-08/standard_csv/raw_bytes_20260308_144420.csv,1,82.45088195800781
17,normal,17,5,1,67,13,80,5.153846,2026-03-08T14:44:43.389,2026-03-08T14:44:43.389,2026-03-08T14:44:44.196,807.0,2026-03-08T14:44:54.196,2026-03-08T14:44:55.246,1050.0,2026-03-08T14:45:05.246,2026-03-08T14:45:05.246,2026-03-08T14:45:08.563,3317.0,2026-03-08T14:45:18.564,2026-03-08T14:46:08.564,2026-03-08T14:46:08.564,10.0,10.0,10.0,10.0,50.0,1,110.28593444824219,2026-03-08T14:45:43.564,archive/2026-03-08/standard_csv/raw_bytes_20260308_144545.csv,1,110.28593444824219
18,normal,18,5,1,83,17,100,4.882353,2026-03-08T14:46:08.565,2026-03-08T14:46:08.565,2026-03-08T14:46:09.184,619.0,2026-03-08T14:46:19.184,2026-03-08T14:46:20.430,1246.0,2026-03-08T14:46:30.430,2026-03-08T14:46:30.430,2026-03-08T14:46:31.488,1058.0,2026-03-08T14:46:41.489,2026-03-08T14:47:31.489,2026-03-08T14:47:31.489,10.0,10.0,10.0,10.0,50.0,1,134.9445343017578,2026-03-08T14:47:06.489,archive/2026-03-08/standard_csv/raw_bytes_20260308_144708.csv,1,134.9445343017578
19,normal,19,7,1,9,1,10,9.000000,2026-03-08T14:47:31.490,2026-03-08T14:47:31.490,2026-03-08T14:47:32.090,600.0,2026-03-08T14:47:42.090,2026-03-08T14:47:42.984,894.0,2026-03-08T14:47:52.984,2026-03-08T14:47:52.984,2026-03-08T14:47:54.224,1240.0,2026-03-08T14:48:04.224,2026-03-08T14:48:54.225,2026-03-08T14:48:54.225,10.0,10.0,10.0,10.0,50.0,1,14.496663093566895,2026-03-08T14:48:29.225,archive/2026-03-08/standard_csv/raw_bytes_20260308_144831.csv,1,14.496663093566895
20,normal,20,7,1,26,4,30,6.500000,2026-03-08T14:48:54.226,2026-03-08T14:48:54.226,2026-03-08T14:48:54.777,551.0,2026-03-08T14:49:04.778,2026-03-08T14:49:05.340,562.0,2026-03-08T14:49:15.340,2026-03-08T14:49:15.341,2026-03-08T14:49:16.868,1527.0,2026-03-08T14:49:26.869,2026-03-08T14:50:16.869,2026-03-08T14:50:16.869,10.0,10.0,10.0,10.0,50.0,1,43.672950744628906,2026-03-08T14:49:51.869,archive/2026-03-08/standard_csv/raw_bytes_20260308_144954.csv,1,43.672950744628906
