segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
1,5,5,1.000000,10,31.15,1.0,0.0,,,,,,31.045751571655273,1,master_time_fallback,,,2026-03-07 12:16:58.194,2026-03-07 12:17:48.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15,15,1.000000,30,31.15,1.0,0.0,,,,,,77.25682067871094,1,master_time_fallback,,,2026-03-07 12:18:21.023,2026-03-07 12:19:11.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,22,22,1.000000,45,31.15,1.0,0.0,,,,,,110.04663848876953,1,master_time_fallback,,,2026-03-07 12:19:44.266,2026-03-07 12:20:34.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,30,30,1.000000,60,31.15,1.0,0.0,,,,,,147.55348205566406,1,master_time_fallback,,,2026-03-07 12:21:07.669,2026-03-07 12:21:57.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40,40,1.000000,80,31.15,1.0,0.0,,,,,,193.86837768554688,1,master_time_fallback,,,2026-03-07 12:22:30.563,2026-03-07 12:23:20.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,50,50,1.000000,100,31.15,1.0,0.0,,,,,,237.61947631835938,1,master_time_fallback,,,2026-03-07 12:23:53.514,2026-03-07 12:24:43.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,2,4.000000,10,31.15,1.0,0.0,,,,,,26.72750473022461,1,master_time_fallback,,,2026-03-07 12:25:18.856,2026-03-07 12:26:08.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22,8,2.750000,30,31.15,1.0,0.0,,,,,,86.81878662109375,1,master_time_fallback,,,2026-03-07 12:26:41.960,2026-03-07 12:27:31.960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,34,11,3.090909,45,31.15,1.0,0.0,,,,,,128.9538116455078,1,master_time_fallback,,,2026-03-07 12:28:05.008,2026-03-07 12:28:55.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,45,15,3.000000,60,31.15,1.0,0.0,,,,,,168.58737182617188,1,master_time_fallback,,,2026-03-07 12:29:27.789,2026-03-07 12:30:17.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
