# Start @ 2025-09-10 12:00:36 test
time,update_type,device,on,brightness,apower,voltage,current
2025-09-10T12:18:00.022398,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:18:00.089592,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:19:00.022894,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:19:00.074015,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:20:00.019439,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:20:00.068329,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:21:00.016443,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:21:00.069923,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:22:00.017423,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:22:00.070151,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:23:00.012566,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:23:00.064292,RpcUpdateType.STATUS,Blue,True,4.0,4.9,246.1,0.053
2025-09-10T12:23:18.434596,RpcUpdateType.STATUS,Blue,True,4.0,2.1,246.1,0.053
2025-09-10T12:23:18.443423,RpcUpdateType.STATUS,Blue,True,4.0,2.1,246.1,0.033
2025-09-10T12:23:19.460082,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.033
2025-09-10T12:23:19.514799,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T12:23:32.821491,RpcUpdateType.STATUS,Blue,True,4.0,2.0,246.1,0.0
2025-09-10T12:23:32.830454,RpcUpdateType.STATUS,Blue,True,4.0,2.0,246.1,0.024
2025-09-10T12:23:33.851450,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.024
2025-09-10T12:23:33.862192,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.055
2025-09-10T12:23:47.196148,RpcUpdateType.STATUS,Blue,True,4.0,3.5,246.1,0.055
2025-09-10T12:23:48.233440,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.055
2025-09-10T12:23:48.244926,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T12:23:53.378977,RpcUpdateType.STATUS,Blue,True,4.0,5.4,246.1,0.0
2025-09-10T12:23:53.435977,RpcUpdateType.STATUS,Blue,True,4.0,5.4,246.1,0.054
2025-09-10T12:24:00.011407,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:24:00.058565,RpcUpdateType.STATUS,Blue,True,4.0,5.4,246.1,0.054
2025-09-10T12:24:06.727657,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:25:00.058869,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:25:00.063948,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:26:00.055652,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:26:00.093702,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:27:00.143254,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:27:00.148285,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:28:00.057539,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:28:00.094771,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:29:00.055102,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:29:00.108769,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:30:00.155736,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:30:00.155981,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:31:00.083760,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:31:00.088158,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:32:00.047711,RpcUpdateType.STATUS,Blue,True,4.0,4.3,246.1,0.054
2025-09-10T12:32:00.080682,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:32:06.728404,RpcUpdateType.STATUS,Blue,True,4.0,1.2,246.1,0.054
2025-09-10T12:32:06.759167,RpcUpdateType.STATUS,Blue,True,4.0,1.2,246.1,0.025
2025-09-10T12:32:07.796509,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.025
2025-09-10T12:32:07.826385,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T12:32:22.145596,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.0
2025-09-10T12:32:22.218849,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.051
2025-09-10T12:32:25.218835,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.051
2025-09-10T12:32:35.498470,RpcUpdateType.STATUS,Blue,True,4.0,3.2,246.1,0.051
2025-09-10T12:32:36.797362,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:33:00.078412,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:33:00.147268,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:34:00.081734,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:34:00.146734,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:35:00.065406,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:35:00.143535,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:36:00.065246,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:36:00.138237,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:37:00.072603,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:37:00.136699,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:38:00.054943,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:38:00.136170,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:39:00.067303,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:39:00.200975,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:40:00.062138,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:40:00.148139,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:41:00.043867,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:41:00.139711,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:42:00.062119,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:42:00.131660,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:43:00.060874,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:43:00.121510,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:44:00.032010,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:44:00.581155,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:45:00.034087,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:45:00.124067,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:46:00.078357,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:46:00.139140,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:47:00.027270,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:47:00.118466,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:48:00.023486,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:48:00.118538,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:49:00.020229,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:49:00.115388,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:50:00.017342,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:50:00.112876,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:51:00.017923,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:51:00.132135,RpcUpdateType.STATUS,Blue,True,4.0,5.0,246.1,0.051
2025-09-10T12:51:41.494026,RpcUpdateType.STATUS,Blue,True,4.0,3.7,246.1,0.051
2025-09-10T12:51:42.600775,RpcUpdateType.STATUS,Blue,True,4.0,5.2,246.1,0.051
2025-09-10T12:52:00.024128,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.092
2025-09-10T12:52:00.343275,RpcUpdateType.STATUS,Blue,True,4.0,5.2,246.1,0.051
2025-09-10T12:52:39.004363,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:53:00.022210,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:53:00.101459,RpcUpdateType.STATUS,Blue,True,4.0,5.2,246.1,0.051
2025-09-10T12:54:00.090338,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:54:00.099796,RpcUpdateType.STATUS,Blue,True,4.0,5.2,246.1,0.051
2025-09-10T12:54:34.160673,RpcUpdateType.STATUS,Blue,True,4.0,3.7,246.1,0.051
2025-09-10T12:54:35.225627,RpcUpdateType.STATUS,Blue,True,4.0,1.9,246.1,0.051
2025-09-10T12:54:35.253586,RpcUpdateType.STATUS,Blue,True,4.0,1.9,246.1,0.023
2025-09-10T12:54:37.257501,RpcUpdateType.STATUS,Blue,True,4.0,4.1,246.1,0.023
2025-09-10T12:54:37.271563,RpcUpdateType.STATUS,Blue,True,4.0,4.1,246.1,0.046
2025-09-10T12:54:38.289883,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.046
2025-09-10T12:54:38.339620,RpcUpdateType.STATUS,Blue,True,4.0,0.0,246.1,0.0
2025-09-10T12:54:41.372655,RpcUpdateType.STATUS,Blue,True,4.0,2.2,246.1,0.0
2025-09-10T12:54:41.380374,RpcUpdateType.STATUS,Blue,True,4.0,2.2,246.1,0.026
2025-09-10T12:54:42.400169,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.026
2025-09-10T12:54:42.405233,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.055
2025-09-10T12:55:00.002674,RpcUpdateType.STATUS,Red,True,14.0,9.9,244.2,0.093
2025-09-10T12:55:00.102328,RpcUpdateType.STATUS,Blue,True,4.0,5.6,246.1,0.055
2025-09-10T12:55:05.003634,RpcUpdateType.STATUS,Blue,True,4.0,2.6,246.1,0.055
2025-09-10T12:55:06.031321,RpcUpdateType.STATUS,Blue,True,4.0,4.7,246.1,0.055
2025-09-10T12:55:17.340389,RpcUpdateType.STATUS,Blue,True,4.0,5.8,246.1,0.055
2025-09-10T12:55:19.441199,RpcUpdateType.STATUS,Blue,True,4.0,3.1,246.1,0.055
