target_ppfd,baseline_solar_vol_const,baseline_power_const_w,pn_int_umol_m2,pn_int_mol_m2,energy_wh,ep_umol_per_wh,ep_mmol_per_wh,mean_temp_c,max_temp_c,pn_pct_vs_dynamic,energy_pct_vs_dynamic,ep_pct_vs_dynamic
350.0,1.495418,52.79813220422444,9209064.6189625,9.2090646189625,10137.24138321109,908.4389204950963,0.9084389204950963,34.73531190897452,38.84875765198993,22.082777213887017,36.195096194409395,-10.361840752605342
360.0,1.5088608000000001,54.370080168834185,9266918.877709996,9.266918877709996,10439.055392416163,887.7162280834616,0.8877162280834616,34.90045163908847,39.053494103608415,22.849739861429043,40.25000486853672,-12.406605635000007
370.0,1.5223036,55.94202813344393,9315110.027082002,9.315110027082001,10740.869401621236,867.2584758991643,0.8672584758991643,35.06559136920242,39.2582305552269,23.488600548794548,44.304913542664046,-14.425228138690585
380.0,1.5357464,57.51397609805367,9353714.363386132,9.353714363386132,11042.683410826305,847.0508494534672,0.8470508494534672,35.23073109931637,39.46296700684539,24.000370721283364,48.359822216791336,-16.419170049902476
390.0,1.5491892,59.085924062663395,9382849.53236373,9.38284953236373,11344.497420031372,827.0837556713714,0.8270837556713714,35.395870829430315,39.66770345846389,24.386609985590074,52.41473089091861,-18.389377943650278
400.0,1.562632,60.66759960710762,9402672.528710447,9.402672528710447,11648.179124564664,807.2225219202971,0.8072225219202971,35.56101055954426,39.87243991008238,24.649399589837707,56.49473228359458,-20.349140337866334
410.0,1.5729639,62.30418265367407,9411699.569126835,9.411699569126835,11962.40306950542,786.7733192437861,0.7867733192437861,35.68793405595604,40.029796751252164,24.769069307627,60.71636998462338,-22.36691923818068
420.0,1.5832958,63.940765700240526,9415441.829449965,9.415441829449964,12276.627014446181,766.9404485752157,0.7669404485752157,35.814857552367826,40.187153592421964,24.818679724342314,64.93800768565224,-24.32388296927381
430.0,1.5936277,65.57734874680703,9414012.829744158,9.414012829744157,12590.85095938695,747.6867814661614,0.7476867814661614,35.94178104877961,40.34451043359172,24.799735753380983,69.15964538668116,-26.2236950969589
440.0,1.6039596,67.21393179337349,9407536.727566658,9.407536727566658,12905.07490432771,728.9796298983003,0.7289796298983003,36.06870454519139,40.5018672747615,24.713883327313493,73.38128308770999,-28.069581037635224
450.0,1.6142915,68.84957176990152,9396147.550815636,9.396147550815636,13219.117779821092,710.7998965830233,0.7107998965830232,36.19562804160317,40.65922411593128,24.56289922789894,77.60048809823938,-29.863425173135106
