scenario,pn_int_umol_m2,energy_wh,ep_pn_per_wh,pn_int_pct_vs_dynamic,energy_pct_vs_dynamic,ep_pct_vs_dynamic
dynamic_actual,7630777.944617216,8809.106466131587,866.2374525674429,0.0,0.0,0.0
constant_mean_ppfd,8834707.939265067,7696.106447773403,1147.9451329342096,15.777290380951378,-12.634652817937218,32.520838198788645
constant_450_ppfd,14046586.002715006,18606.596770815886,754.9250502782338,84.07803378190988,111.22002376010276,-12.850102700973048
