scenario,ppfd_umol_m2_s,solar_vol,energy_wh,segmented_umol_m2,segmented_umol_m2_per_wh,mean_temp_c,max_temp_c,exogenous_umol_m2,exogenous_umol_m2_per_wh
dynamic_actual,182.65564292321923,,8809.106466131587,7630777.944617216,866.2374525674429,31.13189854682052,37.225254878377086,7828590.336285909,888.692895969021
constant_mean_ppfd,182.65564292321923,1.2305053834458832,7696.106447773403,8834707.939265067,1147.9451329342096,30.22379638103603,33.213730294673354,8926647.80478364,1159.8914159206115
constant_450_ppfd,450.0,1.6142915,18606.596770815886,14046586.002715006,754.9250502782338,35.21277821246498,38.33872338559962,15737675.197825339,845.8115899254398
