scenario,pn_int_umol_m2,energy_wh,ep_pn_per_wh
dynamic_actual,7630777.944617216,8809.106466131587,866.2374525674429
constant_mean_ppfd,8834707.939265067,7696.106447773403,1147.9451329342096
constant_450_ppfd,14046586.002715006,18606.596770815886,754.9250502782338
