timestamp,sensor_timestamp,input_temp,co2_ppm,solar_vol_cmd,r_pwm,b_pwm,pred_temp,pred_power,pred_pn,target_solar_vol,target_mean_power,cost,success,note
2025-09-30 22:05:51,2025-09-30T22:04:52.204000,29.66,420.0,1.543776476910006,72.48023164698083,20.244069494094248,32.10137848788306,58.452981592023924,14.291847483523682,1.6,66.58672728779518,-749.0453871166543,True,power_budget_seg:0
2025-09-30 22:20:46,2025-09-30T22:19:39.996000,32.10137848788306,420.0,1.5105381510985665,67.50453165220277,18.751359495660832,34.44412995278164,54.56622298471536,13.830030106372917,1.6,66.58672728779518,-240.1186449744846,True,power_budget_seg:0
2025-09-30 22:35:46,2025-09-30T22:35:28.963000,34.44412995278164,421.0,1.0509053642142028,21.300648324351172,4.766882774783724,35.42302772379577,18.40005127873221,7.745678642191995,1.6,66.58672728779518,6840.807376051098,True,power_budget_seg:0
2025-09-30 22:50:45,2025-09-30T22:50:16.722000,35.42302772379577,424.0,1.2287716273432923,33.75479269368926,8.918264231229752,36.92970237867929,28.378032034433677,10.186707456933641,1.6,66.58672728779518,15235.543516173755,True,power_budget_seg:0
2025-10-01 07:05:45,2025-10-01T07:05:28.243000,23.28,525.0,1.4662363403523022,60.82943147826873,16.74882944348062,25.491296116289465,49.35198115282969,15.287509393096343,1.6,66.58672728779518,-1344.6523557896771,True,power_budget_seg:1
2025-10-01 07:20:45,2025-10-01T07:20:15.959000,25.491296116289465,522.0,1.500913708950702,66.06377506847649,18.319132520542947,27.805489281281027,53.440778713816464,15.70444839581901,1.6,66.58672728779518,-1184.1935588146637,True,power_budget_seg:1
2025-10-01 07:35:45,2025-10-01T07:35:03.677000,27.805489281281027,516.0,1.5641235669368407,75.57364540735423,21.229458162941697,30.30724303978176,60.9038652660525,16.322762593460055,1.6,66.58672728779518,-1219.4315956108626,True,power_budget_seg:1
2025-10-01 07:50:45,2025-10-01T07:50:22.109000,30.30724303978176,506.0,1.5585209137634932,74.68743951873387,20.906231855620163,32.792372224396416,60.177137831881396,15.950689684862198,1.6,66.58672728779518,-1238.9160947054793,True,power_budget_seg:1
2025-10-01 08:05:45,2025-10-01T08:05:09.793000,32.792372224396416,507.0,1.2252328003551896,33.50079633403893,8.833598778012977,34.28854623094182,28.174535855695876,10.351006056414857,1.6,66.58672728779518,-428.03185872094474,True,power_budget_seg:1
2025-10-01 08:20:45,2025-10-01T08:20:28.136000,34.28854623094182,500.0,1.17406047896283,29.82794558654187,7.609315195513956,35.63287824199187,25.231930326943907,9.841719551525376,1.6,66.58672728779518,5477.5848870052505,True,power_budget_seg:1
