target_ppfd,baseline_solar_vol_const,baseline_power_const_w,pn_int_umol_m2,pn_int_mol_m2,energy_wh,ep_umol_per_wh,ep_mmol_per_wh,mean_temp_c,max_temp_c,pn_pct_vs_dynamic,energy_pct_vs_dynamic,ep_pct_vs_dynamic
150.0,1.1464059999999998,23.647287196782113,5077310.470025086,5.077310470025086,4540.279141782165,1118.2815662809937,1.1182815662809937,30.447831065212128,33.53323719105369,-32.69108333961918,-39.00078620120432,10.343908500849759
160.0,1.1721594,25.122610966117474,5468608.029937677,5.468608029937677,4823.541305494555,1133.733015556085,1.1337330155560852,30.76420187527525,33.92546646866786,-27.503727749478003,-35.19512387388337,11.868545369081733
170.0,1.1979127999999999,26.60353063444965,5861348.016772127,5.861348016772126,5107.877881814334,1147.511383864596,1.1475113838645958,31.080572685338375,34.31769574628202,-22.297250186385746,-31.375026679828526,13.228094750711533
180.0,1.2236661999999998,28.08445030278182,6251488.901472136,6.251488901472136,5392.21445813411,1159.3546491908937,1.1593546491908937,31.396943495401494,34.709925023896204,-17.125228414404084,-27.554929485773716,14.396702214985803
190.0,1.2494196,29.565369971114013,6634807.9743281845,6.634807974328185,5676.55103445389,1168.8097110478077,1.1688097110478077,31.713314305464625,35.10215430151035,-12.043642074249723,-23.734832291718863,15.329659094422581
200.0,1.275173,31.04896415399254,7007015.698391652,7.007015698391652,5961.401117566567,1175.3974544245905,1.1753974544245904,32.02968511552774,35.49438357912453,-7.10935672234093,-19.90783607016615,15.979689797166136
210.0,1.2904760999999998,32.58789932224548,7221183.397913488,7.221183397913488,6256.8766698711315,1154.119503854983,1.154119503854983,32.21767792981545,35.72745276060183,-4.270177215087061,-15.93808535121177,13.880136069792595
220.0,1.3057792,34.12683449049844,7429063.6031695325,7.429063603169532,6552.3522221757,1133.80101546231,1.13380101546231,32.40567074410315,35.960521942079104,-1.5143497955255298,-11.968334632257317,11.875255106286385
230.0,1.3210823,35.66576965875141,7629821.391052723,7.629821391052723,6847.827774480271,1114.195865072235,1.114195865072235,32.593663558390865,36.19359112355641,1.1470571232216138,-7.998583913302853,9.940761159487064
240.0,1.3363854,37.20470482700434,7822659.5987621825,7.822659598762183,7143.303326784834,1095.1039373380668,1.0951039373380669,32.78165637267856,36.42666030503371,3.7034757090618236,-4.028833194348485,8.056908299415385
250.0,1.3516884999999998,38.74363999525729,8006826.379161408,8.006826379161408,7438.7788790894,1076.363003835052,1.076363003835052,32.969649186966265,36.659729486511,6.144938870844973,-0.059082475394075074,6.2076890025665366
