timestamp,sensor_timestamp,input_temp,co2_ppm,solar_vol_cmd,r_pwm,b_pwm,pred_temp,pred_power,pred_pn,target_solar_vol,target_mean_power,cost,success,note,dt_s,ppfd_dynamic,replay_segment_id,pn_dynamic_exogenous,pn_baseline_exogenous,ppfd_baseline,temp_dynamic_segmented,power_dynamic_segmented,pn_dynamic_segmented,r_pwm_dynamic_segmented,b_pwm_dynamic_segmented,temp_baseline_segmented,power_baseline_segmented,pn_baseline_segmented,r_pwm_baseline_segmented,b_pwm_baseline_segmented
2025-09-30 22:05:51,2025-09-30T22:04:52.204000,29.66,420.0,1.543776476910006,72.48023164698083,20.244069494094248,32.10137848788306,58.45298159202392,14.291847483523682,1.6,66.58672728779518,-749.0453871166543,True,power_budget_seg:0,900.0,385.9735151233418,0,14.571524135235215,10.411578781772421,228.68366365151374,32.10137848788306,58.452981592023924,14.291847483523682,72.48023164698083,20.244069494094248,31.434607893915437,35.46319402875786,10.47140716325248,42.74177262190226,11.722531786570677
2025-09-30 22:20:46,2025-09-30T22:19:39.996000,32.10137848788306,420.0,1.5105381510985665,67.50453165220277,18.751359495660832,34.44412995278164,54.56622298471536,13.830030106372917,1.6,66.58672728779518,-240.1186449744846,True,power_budget_seg:0,900.0,361.2477691392913,0,13.811726509268004,10.624418488924771,228.68366365151374,32.49818796292296,54.56622298471536,13.830525914399924,67.50453165220277,18.751359495660832,32.24974176266909,35.46319402875786,10.664940555290961,42.74177262190226,11.722531786570677
2025-09-30 22:35:46,2025-09-30T22:35:28.963000,34.44412995278164,421.0,1.0509053642142028,21.30064832435117,4.766882774783724,35.42302772379577,18.40005127873221,7.745678642191995,1.6,66.58672728779518,6840.807376051098,True,power_budget_seg:0,900.0,112.91727081247635,0,7.2471640295209845,11.281212146659671,228.68366365151374,31.027053249541833,18.40005127873221,5.368827083497934,21.300648324351172,4.766882774783724,32.75776304877275,35.46319402875786,10.824062108058195,42.74177262190226,11.722531786570677
2025-09-30 22:50:45,2025-09-30T22:50:16.722000,35.42302772379577,424.0,1.2287716273432925,33.75479269368926,8.918264231229752,36.92970237867929,28.37803203443368,10.18670745693364,1.6,66.58672728779518,15235.543516173757,True,power_budget_seg:0,900.0,181.98242847285894,0,10.193653355386791,11.407771022826122,228.68366365151374,32.533727904425355,28.378032034433684,9.183712859374374,33.75479269368927,8.918264231229756,33.15450163336967,35.46319402875786,10.9747827262117,42.74177262190226,11.722531786570677
2025-10-01 07:05:45,2025-10-01T07:05:28.243000,23.28,525.0,1.4662363403523022,60.82943147826873,16.74882944348062,25.491296116289465,49.35198115282969,15.287509393096345,1.6,66.58672728779518,-1344.6523557896771,True,power_budget_seg:1,900.0,328.29197812383,1,14.549806436126286,11.62958917547155,228.68366365151374,25.491296116289465,49.35198115282969,15.287509393096343,60.82943147826873,16.74882944348062,25.05460789391544,35.46319402875786,12.000621571888727,42.74177262190226,11.722531786570677
2025-10-01 07:20:45,2025-10-01T07:20:15.959000,25.491296116289465,522.0,1.500913708950702,66.06377506847649,18.319132520542947,27.805489281281027,53.440778713816464,15.70444839581901,1.6,66.58672728779518,-1184.1935588146637,True,power_budget_seg:1,900.0,354.08821744778027,1,15.959938350620662,11.988087287171396,228.68366365151374,26.554278668148164,53.440778713816464,15.958336899273897,66.06377506847649,18.319132520542947,25.869741762669086,35.46319402875786,11.961206805075262,42.74177262190226,11.722531786570677
2025-10-01 07:35:45,2025-10-01T07:35:03.677000,27.805489281281027,516.0,1.5641235669368407,75.57364540735423,21.229458162941697,30.30724303978176,60.9038652660525,16.322762593460055,1.6,66.58672728779518,-1219.4315956108626,True,power_budget_seg:1,900.0,401.44365212288227,1,16.89924894406475,11.497615457339215,228.68366365151374,27.270461756404384,60.9038652660525,17.01948426174419,75.57364540735423,21.229458162941697,26.37776304877275,35.46319402875786,11.85591429308464,42.74177262190226,11.722531786570677
2025-10-01 07:50:45,2025-10-01T07:50:22.109000,30.30724303978176,506.0,1.5585209137634932,74.68743951873387,20.906231855620163,32.792372224396416,60.1771378318814,15.950689684862198,1.6,66.58672728779518,-1238.9160947054793,True,power_budget_seg:1,900.0,396.94179320044424,1,16.07172662369192,11.045955023027275,228.68366365151374,27.797027454529893,60.177137831881396,16.668478529548157,74.68743951873387,20.906231855620163,26.774501633369667,35.46319402875786,11.718938164246687,42.74177262190226,11.722531786570677
2025-10-01 08:05:45,2025-10-01T08:05:09.793000,32.792372224396416,507.0,1.2252328003551896,33.50079633403893,8.833598778012977,34.28854623094182,28.17453585569588,10.351006056414857,1.6,66.58672728779518,-428.0318587209448,True,power_budget_seg:1,900.0,180.6083081671506,1,9.722688632956334,11.603528483022659,228.68366365151374,32.63539399326265,28.174535855695876,9.652427869357084,33.50079633403893,8.833598778012977,27.11974583604286,35.46319402875786,11.638117203332401,42.74177262190226,11.722531786570677
2025-10-01 08:20:45,2025-10-01T08:20:28.136000,34.28854623094182,500.0,1.17406047896283,29.82794558654187,7.609315195513956,35.63287824199187,25.231930326943907,9.841719551525376,1.6,66.58672728779518,5477.5848870052505,True,power_budget_seg:1,900.0,160.7381856231915,1,9.410566354769333,11.956393503688375,228.68366365151374,31.13733963541328,25.231930326943907,7.954185648709312,29.82794558654187,7.609315195513956,27.43266975342135,35.46319402875786,11.513411857318662,42.74177262190226,11.722531786570677
2025-10-01 08:35:45,2025-10-01T08:35:15.869000,35.63287824199187,492.0,1.0927620909787463,24.171169961067516,5.723723320355838,36.73597614198004,20.699848743783,8.8318004179852,1.6,66.58672728779518,17031.70973285398,True,power_budget_seg:1,900.0,129.17016431956418,1,8.5897140279497,11.969826662522099,228.68366365151374,30.288132720308077,20.69984874378299,6.020264369144828,24.1711699610675,5.723723320355833,27.720252811530386,35.46319402875786,11.384468070973403,42.74177262190226,11.722531786570677
