scenario,family,pn_int_umol_m2,energy_wh,ep_pn_per_wh,note,pn_int_pct_vs_dynamic_actual,energy_pct_vs_dynamic_actual,ep_pct_vs_dynamic_actual
observed_original,observed_exogenous,7764179.74255435,8255.430683977685,940.4936023051147,measured ppfd + observed temp,2.9282196377535397,0.0,2.928219637753527
observed_tempcopy_0914,observed_exogenous,7639974.308421076,8255.430683977685,925.448301958237,11-09..11-14 temp copied from 11-02..11-07,1.2816523726239715,0.0,1.281652372623956
dynamic_actual,full_replay,7543295.482890572,8255.430683977685,913.7373653358584,"24h thermal replay, 09:00-01:00 evaluation",0.0,0.0,0.0
constant_mean_ppfd,full_replay,8038897.998260928,8255.430683977685,973.7708795572582,"24h thermal replay, 09:00-01:00 evaluation",6.570106082871385,0.0,6.570106082871373
constant_450_ppfd,full_replay,9396147.550815636,13824.0,679.6981735254367,"24h thermal replay, 09:00-01:00 evaluation",24.56289922789894,67.4534076923438,-25.61339841064691
