# 3r1b
id,timestamp,device_id,temperature,humidity,a1_raw,vcap_raw,sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,sp_clear,sp_nir,spectral_gain,sleep_time
37,2025-08-27 11:30:22.942,T6ncwg==,22.97,52.43,0.864,2.880,28.00,227.00,110.00,23.00,718.00,49.00,28.00,31.00,525.00,681.00,1,5
38,2025-08-27 11:30:28.461,L_6vSQ==,23.25,49.24,0.797,2.918,28.00,227.00,116.00,22.00,681.00,46.00,28.00,30.00,496.00,725.00,1,5
39,2025-08-27 11:30:31.493,T6ncwg==,22.91,52.38,0.864,2.879,28.00,228.00,111.00,23.00,720.00,49.00,29.00,32.00,540.00,701.00,1,5
40,2025-08-27 11:30:37.120,L_6vSQ==,23.14,49.30,0.795,2.912,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
41,2025-08-27 11:30:39.286,T6ncwg==,22.88,52.42,0.864,2.880,29.00,232.00,113.00,24.00,739.00,50.00,29.00,32.00,541.00,702.00,1,5
42,2025-08-27 11:30:46.101,L_6vSQ==,23.25,49.20,0.796,2.914,28.00,223.00,114.00,22.00,666.00,45.00,27.00,29.00,485.00,709.00,1,5
43,2025-08-27 11:30:48.055,T6ncwg==,22.94,52.35,0.864,2.880,26.00,218.00,106.00,22.00,679.00,46.00,26.00,29.00,493.00,639.00,1,5
44,2025-08-27 11:30:56.699,L_6vSQ==,23.13,48.97,0.797,2.918,27.00,219.00,112.00,21.00,651.00,44.00,26.00,28.00,470.00,687.00,1,5
45,2025-08-27 11:30:57.999,T6ncwg==,22.85,52.26,0.864,2.878,26.00,219.00,106.00,22.00,683.00,46.00,27.00,30.00,501.00,649.00,1,5
46,2025-08-27 11:31:05.785,L_6vSQ==,23.38,48.75,0.796,2.920,29.00,232.00,119.00,23.00,703.00,47.00,28.00,31.00,511.00,748.00,1,5
