segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time
1,5,5,1.000000,10,30.615168889363606,4,dark_run,1,2026-03-19 12:32:04.433,2026-03-19 12:32:44.422,2026-03-19 12:33:54.410
2,8,8,1.000000,15,43.735435485839844,4,dark_run,2,2026-03-19 12:34:44.413,2026-03-19 12:35:44.372,2026-03-19 12:37:04.407
3,10,10,1.000000,20,53.221808115641274,4,dark_run,3,2026-03-19 12:37:34.429,2026-03-19 12:38:34.377,2026-03-19 12:39:44.348
4,12,12,1.000000,25,62.059014638264976,5,dark_run,4,2026-03-19 12:38:54.364,2026-03-19 12:39:54.289,2026-03-19 12:41:14.319
5,15,15,1.000000,30,76.6126937866211,4,dark_run,5,2026-03-19 12:41:34.310,2026-03-19 12:42:14.259,2026-03-19 12:43:34.288
6,18,18,1.000000,35,91.13063049316406,5,marker_interpolated,6,2026-03-19 12:44:34.219,2026-03-19 12:45:14.182,2026-03-19 12:46:44.153
7,20,20,1.000000,40,100.79691314697266,5,dark_run,7,2026-03-19 12:47:04.236,2026-03-19 12:48:04.181,2026-03-19 12:49:34.165
8,22,22,1.000000,45,111.25660705566406,3,marker,8,2026-03-19 12:49:54.157,2026-03-19 12:50:14.154,2026-03-19 12:50:54.109
9,25,25,1.000000,50,123.84374491373698,4,marker_interpolated,9,2026-03-19 12:51:54.054,2026-03-19 12:52:44.063,2026-03-19 12:53:34.062
10,28,28,1.000000,55,139.06072998046875,5,dark_run,10,2026-03-19 12:53:54.042,2026-03-19 12:54:44.043,2026-03-19 12:55:43.982
11,30,30,1.000000,60,150.27175903320312,3,marker,11,2026-03-19 12:56:44.029,2026-03-19 12:57:13.951,2026-03-19 12:57:34.031
12,32,32,1.000000,65,159.87237548828125,4,marker,12,2026-03-19 12:59:33.914,2026-03-19 12:59:43.953,2026-03-19 13:00:13.879
13,35,35,1.000000,70,172.43251037597656,4,marker_interpolated,13,2026-03-19 13:01:33.912,2026-03-19 13:01:53.895,2026-03-19 13:02:53.830
14,38,38,1.000000,75,189.31572469075522,4,dark_run,14,2026-03-19 13:03:23.850,2026-03-19 13:04:13.850,2026-03-19 13:05:23.819
15,40,40,1.000000,80,198.43704732259116,3,dark_run,15,2026-03-19 13:06:03.783,2026-03-19 13:06:53.778,2026-03-19 13:08:03.749
16,42,42,1.000000,85,208.2402140299479,5,dark_run,16,2026-03-19 13:08:53.751,2026-03-19 13:09:43.741,2026-03-19 13:10:53.731
17,45,45,1.000000,90,222.35135396321616,5,dark_run,17,2026-03-19 13:11:33.692,2026-03-19 13:12:13.646,2026-03-19 13:13:23.618
18,48,48,1.000000,95,234.11136881510416,5,dark_run,18,2026-03-19 13:14:13.610,2026-03-19 13:15:23.579,2026-03-19 13:16:53.548
19,50,50,1.000000,100,247.94194539388022,3,marker_interpolated,19,2026-03-19 13:17:43.538,2026-03-19 13:18:53.520,2026-03-19 13:19:23.546
20,8,2,4.000000,10,27.700847625732422,5,dark_run,20,2026-03-19 13:21:13.467,2026-03-19 13:22:23.455,2026-03-19 13:23:33.422
21,11,4,2.750000,15,46.578165690104164,3,marker_interpolated,21,2026-03-19 13:24:03.441,2026-03-19 13:25:33.385,2026-03-19 13:27:03.350
22,15,5,3.000000,20,61.718275705973305,4,dark_run,22,2026-03-19 13:26:43.357,2026-03-19 13:28:23.351,2026-03-19 13:29:53.288
23,19,6,3.166667,25,76.02608235677083,3,marker,23,2026-03-19 13:32:13.334,2026-03-19 13:32:33.323,2026-03-19 13:33:13.278
24,22,8,2.750000,30,90.10245005289714,4,marker,24,2026-03-19 13:33:53.238,2026-03-19 13:34:23.264,2026-03-19 13:35:03.230
25,26,9,2.888889,35,103.36984507242839,4,dark_run,25,2026-03-19 13:35:23.204,2026-03-19 13:36:03.166,2026-03-19 13:37:13.146
26,30,10,3.000000,40,118.86029815673828,4,marker,26,2026-03-19 13:39:33.110,2026-03-19 13:40:13.130,2026-03-19 13:41:13.099
27,34,11,3.090909,45,133.42144266764322,5,marker_interpolated,27,2026-03-19 13:41:33.110,2026-03-19 13:41:53.121,2026-03-19 13:43:13.086
28,38,12,3.166667,50,148.00787353515625,4,marker,28,2026-03-19 13:45:03.055,2026-03-19 13:45:23.046,2026-03-19 13:46:03.014
29,41,14,2.928571,55,162.82659403483072,4,marker,29,2026-03-19 13:46:22.997,2026-03-19 13:47:22.930,2026-03-19 13:48:22.980
30,45,15,3.000000,60,177.5927734375,5,marker,30,2026-03-19 13:49:12.980,2026-03-19 13:49:42.900,2026-03-19 13:51:02.935
31,49,16,3.062500,65,190.06263224283853,5,marker,31,2026-03-19 13:51:52.932,2026-03-19 13:52:42.826,2026-03-19 13:54:22.854
32,52,18,2.888889,70,206.43567911783853,4,marker,32,2026-03-19 13:54:52.783,2026-03-19 13:55:32.853,2026-03-19 13:56:02.768
33,56,19,2.947368,75,221.12936401367188,4,marker,33,2026-03-19 13:56:22.750,2026-03-19 13:57:02.732,2026-03-19 13:58:52.718
34,60,20,3.000000,80,235.5839385986328,3,marker,34,2026-03-19 13:59:22.781,2026-03-19 14:00:12.690,2026-03-19 14:01:12.744
35,64,21,3.047619,85,250.13450622558594,4,dark_run,35,2026-03-19 14:02:12.704,2026-03-19 14:02:42.739,2026-03-19 14:03:22.706
36,68,22,3.090909,90,264.45253499348956,3,dark_run,36,2026-03-19 14:04:52.632,2026-03-19 14:06:02.687,2026-03-19 14:06:52.611
37,71,24,2.958333,95,277.0997721354167,5,dark_run,37,2026-03-19 14:07:32.595,2026-03-19 14:08:32.569,2026-03-19 14:09:42.565
38,75,25,3.000000,100,288.6604512532552,5,marker,38,2026-03-19 14:11:52.602,2026-03-19 14:12:52.557,2026-03-19 14:13:52.513
39,8,2,4.000000,10,27.663693110148113,4,dark_run,39,2026-03-19 14:15:42.498,2026-03-19 14:16:32.498,2026-03-19 14:17:42.438
40,12,2,6.000000,15,40.509637196858726,4,marker_interpolated,40,2026-03-19 14:18:12.469,2026-03-19 14:18:52.442,2026-03-19 14:19:32.430
41,17,3,5.666667,20,57.31745274861654,3,dark_run,41,2026-03-19 14:19:52.416,2026-03-19 14:21:32.345,2026-03-19 14:22:22.368
42,21,4,5.250000,25,80.16887664794922,5,marker,42,2026-03-19 14:22:42.344,2026-03-19 14:23:02.329,2026-03-19 14:24:32.372
43,25,5,5.000000,30,93.97378794352214,4,marker_interpolated,43,2026-03-19 14:24:52.285,2026-03-19 14:25:42.350,2026-03-19 14:26:32.342
44,29,6,4.833333,35,109.46382649739583,4,marker,44,2026-03-19 14:28:12.252,2026-03-19 14:28:32.266,2026-03-19 14:29:02.231
45,33,7,4.714286,40,125.3466288248698,4,marker,45,2026-03-19 14:31:02.178,2026-03-19 14:31:52.241,2026-03-19 14:33:02.173
46,38,8,4.750000,45,142.58197530110678,4,dark_run,46,2026-03-19 14:32:12.238,2026-03-19 14:33:02.173,2026-03-19 14:34:02.181
47,42,8,5.250000,50,157.30237325032553,5,marker_interpolated,47,2026-03-19 14:35:32.159,2026-03-19 14:36:02.115,2026-03-19 14:37:12.063
