PPFD,CO2,T,R:B,Pn_avg,count
0.0,400.0,22.0,0.83,-0.4916824005059204,5
50.0,400.0,22.0,0.83,2.516029465859348,5
100.0,400.0,22.0,0.83,5.0626008905107405,5
200.0,400.0,22.0,0.83,9.082781816128835,5
300.0,400.0,22.0,0.83,11.809796960929758,5
400.0,400.0,22.0,0.83,13.459035073446586,5
500.0,400.0,22.0,0.83,14.29277157891855,5
600.0,400.0,22.0,0.83,14.675657477036655,5
800.0,400.0,22.0,0.83,14.938458143942219,5
1000.0,400.0,22.0,0.83,14.771765583373655,5
0.0,400.0,22.0,0.88,-0.6338093489066626,3
50.0,400.0,22.0,0.88,2.314483042787358,3
100.0,400.0,22.0,0.88,4.753751985516171,3
200.0,400.0,22.0,0.88,8.57092298231761,3
300.0,400.0,22.0,0.88,11.364211970131423,3
400.0,400.0,22.0,0.88,13.013335132506903,3
500.0,400.0,22.0,0.88,13.984889924439413,3
600.0,400.0,22.0,0.88,14.416735747965419,3
800.0,400.0,22.0,0.88,14.834085953771192,3
1000.0,400.0,22.0,0.88,14.919603161702996,3
0.0,400.0,22.0,1.0,-0.6575333786201252,2
50.0,400.0,22.0,1.0,2.5416832358273744,2
100.0,400.0,22.0,1.0,4.993196130205577,2
200.0,400.0,22.0,1.0,8.464255363865062,2
300.0,400.0,22.0,1.0,10.649073160487937,2
400.0,400.0,22.0,1.0,11.813627878530358,2
500.0,400.0,22.0,1.0,12.3248899859767,2
600.0,400.0,22.0,1.0,12.470189899347755,2
800.0,400.0,22.0,1.0,12.546852462443136,2
1000.0,400.0,22.0,1.0,12.26651615053883,2
0.0,400.0,24.0,0.5,-0.8184240625581027,2
50.0,400.0,24.0,0.5,2.2516341068841403,2
100.0,400.0,24.0,0.5,4.635600193004608,2
200.0,400.0,24.0,0.5,8.212822950010036,2
300.0,400.0,24.0,0.5,10.620491324618477,2
400.0,400.0,24.0,0.5,12.115990256989384,2
500.0,400.0,24.0,0.5,12.954063704895486,2
600.0,400.0,24.0,0.5,13.424479552762662,2
800.0,400.0,24.0,0.5,13.92982426587744,2
1000.0,400.0,24.0,0.5,13.88984105687992,2
0.0,400.0,24.0,0.75,-0.8373933152567341,4
50.0,400.0,24.0,0.75,2.272150196022566,4
100.0,400.0,24.0,0.75,4.949016908658503,4
200.0,400.0,24.0,0.75,9.20743042302512,4
300.0,400.0,24.0,0.75,12.205127201183291,4
400.0,400.0,24.0,0.75,14.029333981945426,4
500.0,400.0,24.0,0.75,15.029536684898776,4
600.0,400.0,24.0,0.75,15.499666540637415,4
800.0,400.0,24.0,0.75,16.091712260011217,4
1000.0,400.0,24.0,0.75,16.5426872899917,4
0.0,400.0,24.0,0.83,-0.6459181812194608,2
50.0,400.0,24.0,0.83,2.490785579817175,2
100.0,400.0,24.0,0.83,5.303416582589959,2
