PPFD,CO2,T,R:B,Pn_avg,count
500.0,800.0,26.0,0.83,18.551055628623615,1
600.0,800.0,26.0,0.83,19.255230572189564,1
800.0,800.0,26.0,0.83,19.496247351184063,1
1000.0,800.0,26.0,0.83,19.041791413058952,1
0.0,800.0,26.0,0.88,-0.6552685422812882,3
50.0,800.0,26.0,0.88,2.7982219670285153,3
100.0,800.0,26.0,0.88,5.9478267985723745,3
200.0,800.0,26.0,0.88,11.532931379150567,3
300.0,800.0,26.0,0.88,16.120872470242958,3
400.0,800.0,26.0,0.88,19.33437241696642,3
500.0,800.0,26.0,0.88,21.31260322183643,3
600.0,800.0,26.0,0.88,22.55183728249153,3
800.0,800.0,26.0,0.88,23.389092553014294,3
1000.0,800.0,26.0,0.88,23.300263765606218,3
0.0,800.0,26.0,1.0,-0.7562481208179445,3
50.0,800.0,26.0,1.0,2.6030176409140484,3
100.0,800.0,26.0,1.0,5.499042217808625,3
200.0,800.0,26.0,1.0,10.358471219092985,3
300.0,800.0,26.0,1.0,14.126125646487083,3
400.0,800.0,26.0,1.0,16.638950980462464,3
500.0,800.0,26.0,1.0,18.37051513800642,3
600.0,800.0,26.0,1.0,19.551700388491415,3
800.0,800.0,26.0,1.0,20.74765669831467,3
1000.0,800.0,26.0,1.0,20.92354422863163,3
0.0,800.0,30.0,0.5,-0.8349246493784184,1
50.0,800.0,30.0,0.5,1.5794860348194166,1
100.0,800.0,30.0,0.5,3.571860678855709,1
200.0,800.0,30.0,0.5,6.964026606100558,1
300.0,800.0,30.0,0.5,9.822155813890108,1
400.0,800.0,30.0,0.5,12.14724554290471,1
500.0,800.0,30.0,0.5,13.776497357046225,1
600.0,800.0,30.0,0.5,15.0648510995782,1
800.0,800.0,30.0,0.5,16.711025017040537,1
1000.0,800.0,30.0,0.5,17.52269643748349,1
0.0,800.0,30.0,0.75,-1.9194548878781108,1
50.0,800.0,30.0,0.75,1.5113873326904086,1
100.0,800.0,30.0,0.75,4.381209400109906,1
200.0,800.0,30.0,0.75,9.355606873869537,1
300.0,800.0,30.0,0.75,13.210091112422653,1
400.0,800.0,30.0,0.75,15.857379355902784,1
500.0,800.0,30.0,0.75,17.412734810485237,1
600.0,800.0,30.0,0.75,18.298532284052506,1
800.0,800.0,30.0,0.75,18.959743705424227,1
1000.0,800.0,30.0,0.75,18.56117809208361,1
0.0,800.0,30.0,0.83,-0.8817744094581519,1
50.0,800.0,30.0,0.83,1.9965246709683824,1
100.0,800.0,30.0,0.83,4.812140224648694,1
200.0,800.0,30.0,0.83,9.711961795084669,1
300.0,800.0,30.0,0.83,13.953011028357954,1
400.0,800.0,30.0,0.83,17.526103085933073,1
500.0,800.0,30.0,0.83,20.05012025869861,1
600.0,800.0,30.0,0.83,21.71179091139956,1
800.0,800.0,30.0,0.83,22.97134091179188,1
1000.0,800.0,30.0,0.83,22.201486117248503,1
0.0,800.0,30.0,0.88,-1.0260949894434979,2
50.0,800.0,30.0,0.88,2.0285217533903506,2
100.0,800.0,30.0,0.88,4.722797098259622,2
200.0,800.0,30.0,0.88,9.692181046534174,2
300.0,800.0,30.0,0.88,14.179740652671573,2
400.0,800.0,30.0,0.88,17.885671124548324,2
500.0,800.0,30.0,0.88,20.711570149330818,2
600.0,800.0,30.0,0.88,22.404841547172992,2
800.0,800.0,30.0,0.88,23.99693667391564,2
1000.0,800.0,30.0,0.88,23.378642329487295,2
0.0,800.0,30.0,1.0,-0.9263279044635965,3
50.0,800.0,30.0,1.0,2.013326037016733,3
100.0,800.0,30.0,1.0,4.378387034605821,3
200.0,800.0,30.0,1.0,8.573378133639421,3
300.0,800.0,30.0,1.0,12.047823531402633,3
400.0,800.0,30.0,1.0,14.790543886086596,3
500.0,800.0,30.0,1.0,16.795608150314298,3
600.0,800.0,30.0,1.0,18.1106725215216,3
800.0,800.0,30.0,1.0,19.466279726550468,3
1000.0,800.0,30.0,1.0,19.714066504598748,3
