Solar_Vol,PPFD,CO2,T,R:B,Pn_avg,count
1.428204,300.0,400.0,22.0,0.83,11.809796960929758,5
1.562632,400.0,400.0,22.0,0.83,13.459035073446586,5
1.665951,500.0,400.0,22.0,0.83,14.29277157891855,5
1.783429,600.0,400.0,22.0,0.83,14.675657477036657,5
0.0,0.0,400.0,22.0,0.88,-0.6338093489066626,3
1.272704,200.0,400.0,22.0,0.88,8.57092298231761,3
1.425779,300.0,400.0,22.0,0.88,11.364211970131423,3
1.56309,400.0,400.0,22.0,0.88,13.013335132506905,3
1.680056,500.0,400.0,22.0,0.88,13.984889924439411,3
1.781374,600.0,400.0,22.0,0.88,14.41673574796542,3
0.0,0.0,400.0,22.0,1.0,-0.6575333786201252,2
0.818815,50.0,400.0,22.0,1.0,2.5416832358273744,2
0.999241,100.0,400.0,22.0,1.0,4.993196130205577,2
1.257945,200.0,400.0,22.0,1.0,8.464255363865062,2
1.420129,300.0,400.0,22.0,1.0,10.649073160487935,2
1.566589,400.0,400.0,22.0,1.0,11.813627878530358,2
1.670568,500.0,400.0,22.0,1.0,12.3248899859767,2
0.0,0.0,400.0,24.0,0.5,-0.8184240625581027,2
0.839616,50.0,400.0,24.0,0.5,2.2516341068841403,2
1.040044,100.0,400.0,24.0,0.5,4.635600193004608,2
1.278819,200.0,400.0,24.0,0.5,8.212822950010036,2
1.450362,300.0,400.0,24.0,0.5,10.620491324618476,2
1.586366,400.0,400.0,24.0,0.5,12.115990256989384,2
1.686494,500.0,400.0,24.0,0.5,12.954063704895486,2
0.0,0.0,400.0,24.0,0.75,-0.8373933152567341,4
0.827675,50.0,400.0,24.0,0.75,2.272150196022566,4
1.017454,100.0,400.0,24.0,0.75,4.949016908658503,4
1.270912,200.0,400.0,24.0,0.75,9.20743042302512,4
1.438591,300.0,400.0,24.0,0.75,12.205127201183291,4
1.569479,400.0,400.0,24.0,0.75,14.029333981945426,4
1.670269,500.0,400.0,24.0,0.75,15.029536684898776,4
1.777072,600.0,400.0,24.0,0.75,15.499666540637415,4
0.0,0.0,400.0,24.0,0.83,-0.6459181812194608,2
1.017639,100.0,400.0,24.0,0.83,5.303416582589959,2
1.275173,200.0,400.0,24.0,0.83,10.090443261756782,2
1.428204,300.0,400.0,24.0,0.83,13.687981177130514,2
1.562632,400.0,400.0,24.0,0.83,15.90275287664524,2
1.665951,500.0,400.0,24.0,0.83,17.255617678299355,2
1.783429,600.0,400.0,24.0,0.83,17.925466030557658,2
0.0,0.0,400.0,24.0,0.88,-0.6300210726828299,2
1.272704,200.0,400.0,24.0,0.88,10.52839475024279,2
1.425779,300.0,400.0,24.0,0.88,13.955034393198185,2
1.56309,400.0,400.0,24.0,0.88,15.866588766326617,2
1.680056,500.0,400.0,24.0,0.88,16.7132335981142,2
1.781374,600.0,400.0,24.0,0.88,16.996551029655002,2
0.0,0.0,400.0,24.0,1.0,-0.8041480156651559,2
0.818815,50.0,400.0,24.0,1.0,2.495451501885122,2
0.999241,100.0,400.0,24.0,1.0,5.08255120048225,2
1.257945,200.0,400.0,24.0,1.0,9.556858367724177,2
1.420129,300.0,400.0,24.0,1.0,12.282006691189393,2
1.566589,400.0,400.0,24.0,1.0,13.851529032626388,2
1.670568,500.0,400.0,24.0,1.0,14.591524816291267,2
0.0,0.0,400.0,26.0,0.5,-1.1619984378882329,1
0.839616,50.0,400.0,26.0,0.5,1.985870695453591,1
1.040044,100.0,400.0,26.0,0.5,4.378518281253183,1
1.278819,200.0,400.0,26.0,0.5,7.633213859539792,1
1.450362,300.0,400.0,26.0,0.5,9.61073325302952,1
1.586366,400.0,400.0,26.0,0.5,10.72974317452659,1
1.686494,500.0,400.0,26.0,0.5,11.278996926645425,1
0.0,0.0,400.0,26.0,0.75,-1.157930488556684,2
0.827675,50.0,400.0,26.0,0.75,2.078614046390758,2
1.017454,100.0,400.0,26.0,0.75,4.615546561558062,2
1.270912,200.0,400.0,26.0,0.75,7.811443615944295,2
1.438591,300.0,400.0,26.0,0.75,9.992304214315295,2
1.569479,400.0,400.0,26.0,0.75,11.326150387403716,2
