sp_415,sp_445,sp_480,sp_515,sp_555,sp_590,sp_630,sp_680,Solar_Vol,PPFD,CO2,T,R:B,Pn_avg,count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,18.0,0.5,-0.3663055760333434,2
28.49718221665623,395.90323656943355,187.8142667110077,22.68707349265635,679.4674231696224,37.589469612418824,24.468049225159525,25.571279087149335,0.839616,50.0,400.0,18.0,0.5,2.358583912400394,2
58.649301128442225,795.8805178812704,370.0865252682148,45.79533469402638,1370.2387317536036,74.04680117002925,49.94513238010535,52.026379544806574,1.040044,100.0,400.0,18.0,0.5,4.7605556353731675,2
113.65994139807452,1560.5109869474988,701.9370658321462,86.17718315115056,2577.3731767154336,136.9601176254365,93.6312880262068,97.20483938122791,1.278819,200.0,400.0,18.0,0.5,8.185064715518482,2
172.07252121246108,2297.561197714989,1012.633231731806,127.1077934517804,3823.2842508215367,204.18828041397896,139.3725791218657,145.37385144335198,1.450362,300.0,400.0,18.0,0.5,10.323851141053042,2
229.1871215365683,3009.954240681609,1303.7705751209228,166.42578177131503,5008.256124031883,267.8057170663467,182.8873768964105,191.19988351284323,1.586366,400.0,400.0,18.0,0.5,11.377823829224976,2
288.9115061113219,3764.6971494131335,1598.708112198385,205.55262614267392,6211.3915124149,331.116023745807,227.09349948529743,237.26885610302287,1.686494,500.0,400.0,18.0,0.5,11.90198879862088,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,18.0,0.75,-0.3359371396463974,2
28.14138683118093,230.42969751449797,114.76936977323234,22.78371203914643,704.1930742201388,47.43282747427519,27.87056238952935,30.530651306581653,0.827675,50.0,400.0,18.0,0.75,2.5236986335765925,2
55.98384010206251,420.2726577502847,213.84223620254176,45.17761736656304,1386.7305853714292,95.33832783937667,55.17487163998792,60.91381668946648,1.017454,100.0,400.0,18.0,0.75,5.00684197142173,2
108.20762678002195,787.475157250352,392.2435238628273,86.73896568287346,2657.586511120013,183.3701285523875,106.45425291355018,117.55293005671076,1.270912,200.0,400.0,18.0,0.75,8.860992703079589,2
159.3553104913662,1132.6054569789037,555.5455827470694,126.7148678956744,3898.8931429756394,270.1830017220996,156.9961189672606,173.45088378365364,1.438591,300.0,400.0,18.0,0.75,10.957655853483017,2
215.6405300752845,1479.0764110771693,723.1110366492356,171.02235903214762,5257.234118780381,366.22499354921985,214.0862730903967,234.26547694667372,1.569479,400.0,400.0,18.0,0.75,11.88619601891676,2
271.93649705060994,1866.315959349233,901.1649462146828,213.9489139522775,6581.935000070776,458.1500314144971,268.98842612819436,293.10548087464014,1.670269,500.0,400.0,18.0,0.75,12.201201223921682,2
326.65598782504685,2257.2886291419877,1078.0585094538424,255.39247828573943,7853.7984888514175,544.949333529688,321.64273369784456,349.16989014242404,1.777072,600.0,400.0,18.0,0.75,12.288056441954222,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,18.0,0.83,-0.1570931794282039,4
