Model,HPCS-310P
Version,2.00.09
Mark
Test Date,2000/01/24 14:07
PAR(mW/cm²),1.9239625930786133
PPFD(umol/㎡/s),91.878173828125
PPFD-UV(umol/㎡/s),0.04393371194601059
PPFD-B(umol/㎡/s),30.915084838867188
PPFD-G(umol/㎡/s),0.14610548317432404
PPFD-R(umol/㎡/s),60.816978454589844
PPFD-FR(umol/㎡/s),0.186862975358963
PPFD-IR(umol/㎡/s),0.0
Kppfv(umol/s/klm),106.62419891357422
Erb Ratio,1.357903242111206
YPFD(umol/m²/s),78.17102813720703
Ech-A(mW/cm²),0.07656678557395935
Ech-B(mW/cm²),0.03716763108968735
DLI(mol/m²d),0.0
CLI(mol/m²),0.0
E(lx),861.700927734375
Candle E(fc),80.08372497558594
CCT(K),100000.0
Duv,-0.14077305793762207
x,0.2402816116809845
y,0.06724901497364044
u,0.2889367341995239
v,0.1212996169924736
u’,0.2889367341995239
v’,0.1819494217634201
SDCM,100.0
Ra,-92.7735366821289
R1,-100.0
R2,-100.0
R3,-100.0
R4,-53.051910400390625
R5,-100.0
R6,-100.0
R7,-89.13643646240234
R8,-100.0
R9,-100.0
R10,-100.0
R11,-67.25201416015625
R12,-100.0
R13,-100.0
R14,-100.0
R15,-100.0
Ee(mW/cm²),1.894721269607544
S/P,8.046231269836426
Dominant(nm),566.5
Purity(%),108.20458221435547
Half width(nm),18.1402587890625
Peak(nm),662.93408203125
Center(nm),661.4013671875
Centroid(nm),572.7000122070312
R ratio(%),57.52081298828125
G ratio(%),0.4544978737831116
B ratio(%),42.02468490600586
Integrat.Time(ms),7.0
Peak Signal,57999.0
Dark Signal,3199.0
Compensate level,2510.0
StartTestWave,380
EndTestWave,780
380,0.20939959585666656
381,0.5021825432777405
382,0.6911493539810181
383,0.7185516953468323
384,0.635403573513031
385,0.4365166425704956
386,0.3869108259677887
387,0.34533941745758057
388,0.3552612364292145
389,0.4284857511520386
390,0.5102134943008423
391,0.6023353338241577
392,0.7672094106674194
393,0.9089354276657104
394,1.0123960971832275
395,1.0555046796798706
396,0.9486193656921387
397,0.7927207350730896
398,0.7766590118408203
399,0.6987079977989197
400,0.6485385894775391
401,0.6456968784332275
402,0.635453462600708
403,0.6268564462661743
404,0.8639007210731506
405,1.015816569328308
406,0.9709083437919617
407,0.9462372660636902
408,0.9607717990875244
409,0.8641683459281921
410,0.7071831226348877
411,0.7446922063827515
412,0.8576396703720093
413,1.0653280019760132
414,1.40682053565979
415,1.6938902139663696
416,2.046708583831787
417,2.369887590408325
418,2.5137429237365723
419,2.770900249481201
420,3.3962936401367188
421,4.052884101867676
422,4.853394985198975
423,5.766114234924316
424,6.808070182800293
425,8.084712028503418
426,9.588278770446777
427,11.207388877868652
428,13.231877326965332
429,15.647130966186523
430,18.411022186279297
431,21.658830642700195
432,25.721141815185547
433,30.4014835357666
434,35.6334114074707
435,41.71272277832031
436,49.613914489746094
437,58.530033111572266
438,67.62285614013672
439,78.27317810058594
440,90.72103881835938
441,105.4289321899414
442,122.25684356689453
443,141.61166381835938
444,163.75294494628906
445,188.4004669189453
446,215.18704223632812
447,243.19859313964844
448,272.037109375
449,298.9659729003906
450,322.3446044921875
451,341.3736267089844
452,354.9052429199219
453,359.31304931640625
454,357.61968994140625
455,351.51824951171875
456,338.5357360839844
457,320.4995422363281
458,299.4243469238281
459,275.7111511230469
460,250.96337890625
461,226.5178680419922
462,203.52113342285156
463,181.56329345703125
464,162.33509826660156
465,145.93682861328125
466,132.22064208984375
467,120.52945709228516
468,109.08934020996094
469,98.55278015136719
470,89.60578155517578
471,80.92000579833984
472,72.63273620605469
473,64.79303741455078
474,57.6422004699707
475,51.13715744018555
476,45.268157958984375
477,40.048561096191406
478,35.49696731567383
479,31.52540397644043
480,27.965206146240234
481,24.829843521118164
482,22.071046829223633
483,19.631633758544922
484,17.525686264038086
485,15.73768424987793
486,14.041173934936523
487,12.435518264770508
488,11.005986213684082
489,9.69050407409668
490,8.534229278564453
491,7.629839897155762
492,6.900226593017578
493,6.171690464019775
494,5.440463542938232
495,4.724562644958496
496,4.050300121307373
497,3.476077079772949
498,2.9736058712005615
499,2.577831268310547
500,2.2468671798706055
501,2.018233060836792
502,1.8495393991470337
503,1.6520929336547852
504,1.504926085472107
505,1.4188668727874756
506,1.2088221311569214
507,1.0031101703643799
508,0.9601986408233643
509,0.8718072772026062
510,0.783337414264679
511,0.7893106937408447
512,0.7251960635185242
513,0.6054002046585083
514,0.5349565744400024
515,0.46521636843681335
516,0.41512542963027954
517,0.45292219519615173
518,0.4434589147567749
519,0.38044869899749756
520,0.43113332986831665
521,0.4817937910556793
522,0.4358541965484619
523,0.42610496282577515
524,0.40933629870414734
525,0.31117764115333557
526,0.17233505845069885
527,0.08618151396512985
528,0.04664013162255287
529,0.08040066808462143
530,0.16907979547977448
531,0.30436059832572937
532,0.36314070224761963
533,0.36486753821372986
534,0.33385705947875977
535,0.23921824991703033
536,0.15268370509147644
537,0.19172392785549164
538,0.22400374710559845
539,0.2598098814487457
540,0.2630734145641327
541,0.2260347157716751
542,0.1509094387292862
543,0.1688338667154312
544,0.1873345971107483
545,0.20805275440216064
546,0.23620760440826416
547,0.2403087168931961
548,0.17420458793640137
549,0.15280340611934662
550,0.13991814851760864
551,0.16509932279586792
552,0.19423285126686096
553,0.20403490960597992
554,0.16236650943756104
555,0.19792965054512024
556,0.20571905374526978
557,0.1932634711265564
558,0.23833242058753967
559,0.2947569787502289
560,0.27401798963546753
561,0.22737914323806763
562,0.19894865155220032
563,0.10707973688840866
564,0.04274136945605278
565,0.034248340874910355
566,0.01856464520096779
567,0.033509522676467896
568,0.11014366894960403
569,0.137502059340477
570,0.1367676556110382
571,0.15199829638004303
572,0.2033710479736328
573,0.18744748830795288
574,0.15185630321502686
575,0.10985781252384186
576,0.07081986963748932
577,0.006689195055514574
578,0.0
579,0.02365795150399208
580,0.08651399612426758
581,0.1874401867389679
582,0.2223339080810547
583,0.18716587126255035
584,0.12943732738494873
585,0.08296942710876465
586,0.022026285529136658
587,0.022276412695646286
588,0.04325546696782112
589,0.07135922461748123
590,0.05549878999590874
591,0.09895193576812744
592,0.15474247932434082
593,0.1863127201795578
594,0.20506559312343597
595,0.22489924728870392
596,0.2117994874715805
597,0.18479731678962708
598,0.25353318452835083
599,0.2909347712993622
600,0.3628441095352173
601,0.47326964139938354
602,0.5363562107086182
603,0.6091396808624268
604,0.7729009389877319
605,0.9876569509506226
606,1.1619036197662354
607,1.37920081615448
608,1.5464874505996704
609,1.772422194480896
610,2.1232616901397705
611,2.5190908908843994
612,2.9619317054748535
613,3.383024215698242
614,3.84871506690979
615,4.345590114593506
616,4.886321067810059
617,5.439380645751953
618,6.093653678894043
619,6.930896759033203
620,7.916871547698975
621,9.057188034057617
622,10.289953231811523
623,11.586762428283691
624,12.8801908493042
625,14.250408172607422
626,15.739104270935059
627,17.515960693359375
628,19.50841522216797
629,21.69415283203125
630,23.773611068725586
631,26.129472732543945
632,29.09960174560547
633,32.441162109375
634,36.14680862426758
635,40.27833938598633
636,44.87456512451172
637,50.104644775390625
638,55.996517181396484
639,62.6086311340332
640,69.96366882324219
641,78.12871551513672
642,87.34696197509766
643,97.65139770507812
644,109.5158462524414
645,120.50717163085938
646,132.74769592285156
647,148.7294464111328
648,166.12623596191406
649,184.32176208496094
650,203.7549285888672
651,224.239013671875
652,246.052001953125
653,269.1863708496094
654,294.1992492675781
655,321.1036682128906
656,350.6204833984375
657,382.95062255859375
658,417.1526184082031
659,445.6811828613281
660,472.3996887207031
661,499.3701171875
662,517.15576171875
663,522.747802734375
664,514.2496948242188
665,490.6523132324219
666,454.62646484375
667,410.32470703125
668,361.29608154296875
669,310.7651062011719
670,262.786376953125
671,226.96128845214844
672,194.31600952148438
673,159.2415313720703
674,129.9069061279297
675,105.86859893798828
676,85.92615509033203
677,69.6544189453125
678,56.44169998168945
679,45.69652557373047
680,36.90492248535156
681,29.812414169311523
682,24.02825927734375
683,19.95795440673828
684,16.71101951599121
685,13.512619972229004
686,10.924431800842285
687,8.907144546508789
688,7.40798282623291
689,6.1934099197387695
690,5.212817668914795
691,4.348418235778809
692,3.627814292907715
693,3.042161464691162
694,2.5948822498321533
695,2.172372341156006
696,1.8232148885726929
697,1.6235932111740112
698,1.3487581014633179
699,1.0785280466079712
700,0.8725935816764832
701,0.7248608469963074
702,0.5781599879264832
703,0.521640956401825
704,0.5172632932662964
705,0.4028719961643219
706,0.3020453453063965
707,0.27244827151298523
708,0.21202526986598969
709,0.23319022357463837
710,0.3827930986881256
711,0.4838065505027771
712,0.5066688656806946
713,0.5519624352455139
714,0.48268046975135803
715,0.41008657217025757
716,0.4479687213897705
717,0.5576844811439514
718,0.6076605916023254
719,0.7269851565361023
720,0.8274128437042236
721,0.798804521560669
722,0.6387189030647278
723,0.567891001701355
724,0.5235744714736938
725,0.3856869339942932
726,0.35048896074295044
727,0.4002750515937805
728,0.36242103576660156
729,0.2672899663448334
730,0.30522793531417847
731,0.24033600091934204
732,0.0896773636341095
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.05209418386220932
739,0.16338428854942322
740,0.1870642453432083
741,0.17416329681873322
742,0.2260817438364029
743,0.33923301100730896
744,0.31870037317276
745,0.3013843297958374
746,0.3553785979747772
747,0.4484410285949707
748,0.5184153914451599
749,0.6743961572647095
750,0.7854475975036621
751,0.7724101543426514
752,0.674519956111908
753,0.5840415954589844
754,0.47813674807548523
755,0.3360258936882019
756,0.27555328607559204
757,0.2894052267074585
758,0.36449167132377625
759,0.2866889536380768
760,0.227353036403656
761,0.20107167959213257
762,0.30489999055862427
763,0.41332513093948364
764,0.4689826965332031
765,0.6227065920829773
766,0.6834568977355957
767,0.5740269422531128
768,0.343587189912796
769,0.3125619888305664
770,0.2835046052932739
771,0.24704745411872864
772,0.15628710389137268
773,0.02011295035481453
774,0.027934858575463295
775,0.025132913142442703
776,0.06261906772851944
777,0.32349783182144165
778,0.5626847147941589
779,0.5988332629203796
780,0.5465846061706543
