Model,MAE,MSE,RMSE,R²
SVR (RBF),0.4699,0.5051,0.7107,0.9866
MLP Regressor,0.6316,0.7275,0.8529,0.9807
Linear Regression,1.8856,5.2543,2.2922,0.8610
Lasso Regression,1.8849,5.2533,2.2920,0.8610
Ridge Regression,1.8856,5.2544,2.2922,0.8609
SVR (Linear),1.8846,5.2616,2.2938,0.8608
