segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
11,normal,11,3,1,60,20,80,3.000000,2026-03-08T15:20:32.695,2026-03-08T15:20:32.695,2026-03-08T15:20:34.340,1645.0,2026-03-08T15:20:44.341,2026-03-08T15:20:45.690,1349.0,2026-03-08T15:20:55.690,2026-03-08T15:20:55.690,2026-03-08T15:20:56.613,923.0,2026-03-08T15:21:06.613,2026-03-08T15:21:56.614,2026-03-08T15:21:56.614,10.0,10.0,10.0,10.0,50.0,1,96.25957489013672,2026-03-08T15:21:31.613,archive/2026-03-08/standard_csv/raw_bytes_20260308_152133.csv,1,96.25957489013672
12,normal,12,3,1,75,25,100,3.000000,2026-03-08T15:21:56.614,2026-03-08T15:21:56.614,2026-03-08T15:21:57.327,713.0,2026-03-08T15:22:07.328,2026-03-08T15:22:08.543,1215.0,2026-03-08T15:22:18.544,2026-03-08T15:22:18.544,2026-03-08T15:22:19.641,1097.0,2026-03-08T15:22:29.641,2026-03-08T15:23:19.641,2026-03-08T15:23:19.641,10.0,10.0,10.0,10.0,50.0,1,120.31334686279297,2026-03-08T15:22:54.641,archive/2026-03-08/standard_csv/raw_bytes_20260308_152256.csv,1,120.31334686279297
13,normal,13,5,1,8,2,10,4.000000,2026-03-08T15:23:19.641,2026-03-08T15:23:19.641,2026-03-08T15:23:20.258,617.0,2026-03-08T15:23:30.259,2026-03-08T15:23:31.747,1488.0,2026-03-08T15:23:41.747,2026-03-08T15:23:41.747,2026-03-08T15:23:42.389,642.0,2026-03-08T15:23:52.390,2026-03-08T15:24:42.390,2026-03-08T15:24:42.390,10.0,10.0,10.0,10.0,50.0,1,12.197216987609863,2026-03-08T15:24:17.390,archive/2026-03-08/standard_csv/raw_bytes_20260308_152419.csv,1,12.197216987609863
14,normal,14,5,1,25,5,30,5.000000,2026-03-08T15:24:42.391,2026-03-08T15:24:42.391,2026-03-08T15:24:43.166,775.0,2026-03-08T15:24:53.166,2026-03-08T15:24:54.426,1260.0,2026-03-08T15:25:04.426,2026-03-08T15:25:04.426,2026-03-08T15:25:05.281,855.0,2026-03-08T15:25:15.281,2026-03-08T15:26:05.282,2026-03-08T15:26:05.282,10.0,10.0,10.0,10.0,50.0,1,39.68407440185547,2026-03-08T15:25:40.282,archive/2026-03-08/standard_csv/raw_bytes_20260308_152542.csv,1,39.68407440185547
15,normal,15,5,1,38,8,45,4.750000,2026-03-08T15:26:05.282,2026-03-08T15:26:05.282,2026-03-08T15:26:06.183,901.0,2026-03-08T15:26:16.183,2026-03-08T15:26:17.577,1394.0,2026-03-08T15:26:27.578,2026-03-08T15:26:27.578,2026-03-08T15:26:28.841,1263.0,2026-03-08T15:26:38.841,2026-03-08T15:27:28.841,2026-03-08T15:27:28.841,10.0,10.0,10.0,10.0,50.0,1,59.991947174072266,2026-03-08T15:27:03.841,archive/2026-03-08/standard_csv/raw_bytes_20260308_152705.csv,1,59.991947174072266
16,normal,16,5,1,50,10,60,5.000000,2026-03-08T15:27:28.841,2026-03-08T15:27:28.841,2026-03-08T15:27:29.856,1014.9999999999999,2026-03-08T15:27:39.856,2026-03-08T15:27:40.930,1074.0,2026-03-08T15:27:50.931,2026-03-08T15:27:50.931,2026-03-08T15:27:51.764,833.0,2026-03-08T15:28:01.765,2026-03-08T15:28:51.766,2026-03-08T15:28:51.766,10.0,10.0,10.0,10.0,50.0,1,77.80780792236328,2026-03-08T15:28:26.766,archive/2026-03-08/standard_csv/raw_bytes_20260308_152828.csv,1,77.80780792236328
17,normal,17,5,1,67,13,80,5.153846,2026-03-08T15:28:51.766,2026-03-08T15:28:51.766,2026-03-08T15:28:52.346,580.0,2026-03-08T15:29:02.346,2026-03-08T15:29:03.258,912.0,2026-03-08T15:29:13.258,2026-03-08T15:29:13.258,2026-03-08T15:29:14.246,988.0,2026-03-08T15:29:24.247,2026-03-08T15:30:14.247,2026-03-08T15:30:14.247,10.0,10.0,10.0,10.0,50.0,1,102.5338363647461,2026-03-08T15:29:49.247,archive/2026-03-08/standard_csv/raw_bytes_20260308_152951.csv,1,102.5338363647461
18,normal,18,5,1,83,17,100,4.882353,2026-03-08T15:30:14.247,2026-03-08T15:30:14.247,2026-03-08T15:30:15.176,929.0,2026-03-08T15:30:25.176,2026-03-08T15:30:26.611,1435.0,2026-03-08T15:30:36.611,2026-03-08T15:30:36.611,2026-03-08T15:30:37.978,1367.0,2026-03-08T15:30:47.978,2026-03-08T15:31:37.978,2026-03-08T15:31:37.978,10.0,10.0,10.0,10.0,50.0,1,130.00836181640625,2026-03-08T15:31:12.978,archive/2026-03-08/standard_csv/raw_bytes_20260308_153115.csv,1,130.00836181640625
19,normal,19,7,1,9,1,10,9.000000,2026-03-08T15:31:37.978,2026-03-08T15:31:37.978,2026-03-08T15:31:38.782,804.0,2026-03-08T15:31:48.782,2026-03-08T15:31:49.728,946.0,2026-03-08T15:31:59.728,2026-03-08T15:31:59.728,2026-03-08T15:32:00.499,771.0,2026-03-08T15:32:10.500,2026-03-08T15:33:00.500,2026-03-08T15:33:00.500,10.0,10.0,10.0,10.0,50.0,1,13.57789134979248,2026-03-08T15:32:35.500,archive/2026-03-08/standard_csv/raw_bytes_20260308_153237.csv,1,13.57789134979248
20,normal,20,7,1,26,4,30,6.500000,2026-03-08T15:33:00.500,2026-03-08T15:33:00.500,2026-03-08T15:33:01.231,731.0,2026-03-08T15:33:11.231,2026-03-08T15:33:12.586,1355.0,2026-03-08T15:33:22.587,2026-03-08T15:33:22.587,2026-03-08T15:33:23.727,1140.0,2026-03-08T15:33:33.727,2026-03-08T15:34:23.727,2026-03-08T15:34:23.727,10.0,10.0,10.0,10.0,50.0,1,40.53432846069336,2026-03-08T15:33:58.727,archive/2026-03-08/standard_csv/raw_bytes_20260308_153400.csv,1,40.53432846069336
