5:1,500.456,95,28
5:1,449.897,85,25
5:1,398.495,75,21
5:1,348.802,65,18
5:1,299.624,55,15
5:1,250.298,47,13
5:1,199.539,37,10
5:1,150.849,28,7
5:1,99.891,19,4
