5:1,648.464,91,30
5:1,598.301,84,27
5:1,550.628,77,25
5:1,500.332,69,22
5:1,449.422,62,19
5:1,399.290,54,17
5:1,348.336,47,14
5:1,300.051,40,12
5:1,250.211,34,10
5:1,198.763,27,7
5:1,148.938,20,5
7:1,599.686,87,19
7:1,500.963,73,15
7:1,399.929,58,12
7:1,298.867,42,8
7:1,197.939,28,5
R:1,500.143,83,0
R:1,399.302,66,0
R:1,300.649,49,0
R:1,200.136,33,0
R:1,98.767,16,0
R:1,50.653,8,0
1:1,997.771,83,100
1:1,801.770,66,78
1:1,601.427,49,56
1:1,501.369,40,46
1:1,401.787,33,37
1:1,298.019,24,26
1:1,200.532,16,17
1:1,102.205,8,7
3:1,600.465,76,42
3:1,497.963,61,34
3:1,401.843,49,27
3:1,300.785,37,19
3:1,202.941,25,12
3:1,99.706,12,5
