Model,Missing_Strategy,Missing_Value,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,R2_Mean,R2_Std,R2_Min,R2_Max
SVR (RBF),extreme_low,-3.0000,4.4761,0.6661,5.3759,0.7230,0.2214,0.1949,-0.1143,0.8483
MLP Regressor,extreme_low,-3.0000,4.8558,2.2445,5.2507,2.1989,0.1424,0.7024,-2.1628,0.9259
Lasso Regression,extreme_low,-3.0000,16.3550,19.5578,17.2901,20.1817,-17.6900,28.4116,-93.1693,0.8772
Ridge Regression,extreme_low,-3.0000,100.1038,92.6296,105.7323,97.3015,-545.3965,819.0601,-3585.6029,0.9180
SVR (Linear),extreme_low,-3.0000,169.6706,146.0813,179.0883,153.6042,-1472.1599,2210.6955,-9327.4286,0.9335
Linear Regression,extreme_low,-3.0000,376.2704,296.8420,397.1489,312.0704,-6750.3294,9196.8993,-39162.7227,0.9483
