segment_id,pwm_r,pwm_b,rb_ratio_pwm,total_pwm,temperature_mean,gain_mode,sum_vis,norm_445,norm_480,norm_630,norm_680,rb_sensor,PPFD_spec_mean,sensor_window_count,window_source,matched_marker_index,marker_end_sensor_time,steady_start_sensor_time,steady_end_sensor_time,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,sp_clear_mean,sp_nir_mean
1,5,5,1.000000,10,23.238,1.0,2899.0,0.2434632631942049,0.13318385650224215,0.018213176957571575,0.01842014487754398,0.09726165399761881,24.520627975463867,10,marker,1,2026-03-08 16:43:33.173,2026-03-08 16:43:43.173,2026-03-08 16:44:33.173,57.4,705.8,386.1,41.8,1530.9,70.8,52.8,53.4,782.3,926.5
2,15,15,1.000000,30,23.238,1.0,3537.8,0.2404884391429702,0.13087229351574425,0.018655661710667647,0.019023121714059583,0.10146140965139291,61.584651947021484,10,marker,2,2026-03-08 16:44:53.180,2026-03-08 16:45:03.180,2026-03-08 16:45:53.180,70.4,850.8,463.0,51.7,1880.6,88.0,66.0,67.3,1003.3,1198.1
3,22,22,1.000000,45,23.264,1.0,4222.8,0.2262479871175523,0.12309368191721132,0.01932367149758454,0.0198446528369802,0.11212039045553145,88.4251708984375,10,marker,3,2026-03-08 16:46:18.131,2026-03-08 16:46:28.131,2026-03-08 16:47:18.131,87.0,955.4,519.8,63.4,2317.8,114.0,81.6,83.8,1268.3,1530.9
4,30,30,1.000000,60,23.304,1.0,1327.3,0.3250207187523544,0.16567467791757703,0.013033978753861223,0.012431251412642206,0.05189620758483034,117.62090301513672,10,marker,4,2026-03-08 16:47:38.073,2026-03-08 16:47:48.073,2026-03-08 16:48:38.073,23.8,431.4,219.9,15.6,584.3,18.5,17.3,16.5,177.6,205.4
5,40,40,1.000000,80,23.283,1.0,2947.1,0.1802789182586271,0.10094669335957382,0.022462760001357267,0.02331105154219402,0.16276544401544404,154.92298889160156,10,marker,5,2026-03-08 16:53:07.927,2026-03-08 16:53:17.927,2026-03-08 16:54:07.927,65.2,531.3,297.5,48.2,1772.2,97.8,66.2,68.7,1121.4,1363.4
6,50,50,1.000000,100,23.277,1.0,3834.2,0.19057430493975278,0.10508059047519691,0.021751603985185962,0.022612278963017058,0.15005292872265352,199.76715087890625,10,marker,6,2026-03-08 16:54:32.988,2026-03-08 16:54:42.988,2026-03-08 16:55:32.988,83.7,730.7,402.9,62.0,2262.4,122.4,83.4,86.7,1384.0,1705.7
7,8,2,4.000000,10,23.34125,1.0,1514.5,0.32353912182238365,0.16622647738527566,0.012710465500165071,0.012215252558600198,0.05089315807212673,22.68019676208496,8,marker,7,2026-03-08 16:56:02.954,2026-03-08 16:56:12.954,2026-03-08 16:57:02.954,27.0,490.0,251.75,17.875,668.875,21.25,19.25,18.5,217.625,253.25
8,22,8,2.750000,30,23.313333333333333,1.0,399.77777777777777,0.022512506948304613,0.02001111728738188,0.032240133407448586,0.03474152306837132,1.5751633986928104,72.0833511352539,9,marker,8,2026-03-08 16:56:27.970,2026-03-08 16:56:37.970,2026-03-08 16:57:27.970,11.0,9.0,8.0,8.0,315.0,22.0,12.88888888888889,13.88888888888889,270.8888888888889,313.8888888888889
9,34,11,3.090909,45,23.255,1.0,2210.9,0.09027997648016645,0.059704192862635126,0.028042878465783166,0.029942557329594284,0.3866103739445114,105.50768280029297,10,marker,9,2026-03-08 16:59:12.920,2026-03-08 16:59:22.920,2026-03-08 17:00:12.920,55.0,199.6,132.0,42.0,1554.1,100.0,62.0,66.2,1195.1,1432.6
10,45,15,3.000000,60,23.335555555555555,1.0,4239.111111111111,0.14494652967079052,0.08329838540574543,0.02526735164604739,0.026473055147829733,0.2266881028938907,138.33624267578125,9,marker,10,2026-03-08 17:02:57.842,2026-03-08 17:03:07.842,2026-03-08 17:03:57.842,98.55555555555556,614.4444444444445,353.1111111111111,74.33333333333333,2717.8888888888887,161.44444444444446,107.11111111111111,112.22222222222223,1891.2222222222222,2352.777777777778
11,60,20,3.000000,80,23.382,1.0,1011.7,0.29475140852031234,0.15073638430364733,0.014727686072946526,0.014826529603637442,0.06634124694919015,180.793701171875,10,marker,11,2026-03-08 17:04:17.767,2026-03-08 17:04:27.767,2026-03-08 17:05:17.767,19.0,298.2,152.5,12.8,481.3,18.0,14.9,15.0,190.3,222.7
12,75,25,3.000000,100,23.352,1.0,1506.7,0.08561757483241521,0.05774208535209398,0.028539191610805068,0.030530298002256585,0.41203703703703703,235.85812377929688,10,marker,12,2026-03-08 17:06:07.731,2026-03-08 17:06:17.731,2026-03-08 17:07:07.731,37.0,129.0,87.0,29.0,1066.7,69.0,43.0,46.0,828.8,985.5
