Model,MAE,MSE,RMSE,R²
SVR (RBF),0.4617,0.5049,0.7106,0.9866
MLP Regressor,0.5773,0.5585,0.7473,0.9852
Linear Regression,1.7394,4.3512,2.0860,0.8849
Ridge Regression,1.7394,4.3512,2.0860,0.8848
Lasso Regression,1.7409,4.3551,2.0869,0.8847
SVR (Linear),1.8122,4.7244,2.1736,0.8750
