segment_id,segment_type,condition_index,ratio_r,ratio_b,pwm_r,pwm_b,total_pwm,rb_ratio_pwm,segment_start_master_time,marker_off_request_master_time,marker_off_start_master_time,marker_off_delay_ms,marker_blue_request_master_time,marker_blue_start_master_time,marker_blue_delay_ms,marker_end_master_time,target_pwm_request_master_time,target_pwm_applied_master_time,target_pwm_delay_ms,steady_start_master_time,steady_end_master_time,segment_end_master_time,Ts,T_off,T_blue,T_settle,T_meas,N_spec,ppfd_1,ppfd_1_time,spec_file_1,ppfd_valid_count,PPFD_spec_mean
11,normal,11,3,1,60,20,80,3.000000,2026-03-07T11:46:08.773,2026-03-07T11:46:08.773,2026-03-07T11:46:09.907,1134.0,2026-03-07T11:46:19.908,2026-03-07T11:46:20.846,938.0,2026-03-07T11:46:30.846,2026-03-07T11:46:30.846,2026-03-07T11:46:32.070,1224.0,2026-03-07T11:46:42.071,2026-03-07T11:47:32.071,2026-03-07T11:47:32.071,10.0,10.0,10.0,10.0,50.0,1,186.76483154296875,2026-03-07T11:47:07.071,archive/2026-03-07/standard_csv/raw_bytes_20260307_114709.csv,1,186.76483154296875
12,normal,12,3,1,75,25,100,3.000000,2026-03-07T11:47:32.071,2026-03-07T11:47:32.071,2026-03-07T11:47:33.306,1235.0,2026-03-07T11:47:43.307,2026-03-07T11:47:44.834,1527.0,2026-03-07T11:47:54.834,2026-03-07T11:47:54.834,2026-03-07T11:47:55.845,1010.9999999999999,2026-03-07T11:48:05.846,2026-03-07T11:48:55.847,2026-03-07T11:48:55.847,10.0,10.0,10.0,10.0,50.0,1,221.83648681640625,2026-03-07T11:48:30.847,archive/2026-03-07/standard_csv/raw_bytes_20260307_114833.csv,1,221.83648681640625
13,normal,13,5,1,8,2,10,4.000000,2026-03-07T11:48:55.847,2026-03-07T11:48:55.847,2026-03-07T11:48:57.276,1429.0,2026-03-07T11:49:07.276,2026-03-07T11:49:08.166,890.0,2026-03-07T11:49:18.167,2026-03-07T11:49:18.167,2026-03-07T11:49:19.152,985.0,2026-03-07T11:49:29.153,2026-03-07T11:50:19.153,2026-03-07T11:50:19.153,10.0,10.0,10.0,10.0,50.0,1,21.830759048461914,2026-03-07T11:49:54.153,archive/2026-03-07/standard_csv/raw_bytes_20260307_114956.csv,1,21.830759048461914
14,normal,14,5,1,25,5,30,5.000000,2026-03-07T11:50:19.153,2026-03-07T11:50:19.153,2026-03-07T11:50:20.014,861.0,2026-03-07T11:50:30.014,2026-03-07T11:50:31.697,1683.0,2026-03-07T11:50:41.697,2026-03-07T11:50:41.697,2026-03-07T11:50:42.239,542.0,2026-03-07T11:50:52.239,2026-03-07T11:51:42.239,2026-03-07T11:51:42.239,10.0,10.0,10.0,10.0,50.0,1,74.49117279052734,2026-03-07T11:51:17.239,archive/2026-03-07/standard_csv/raw_bytes_20260307_115119.csv,1,74.49117279052734
15,normal,15,5,1,38,8,45,4.750000,2026-03-07T11:51:42.240,2026-03-07T11:51:42.240,2026-03-07T11:51:43.374,1134.0,2026-03-07T11:51:53.375,2026-03-07T11:51:54.840,1465.0,2026-03-07T11:52:04.841,2026-03-07T11:52:04.841,2026-03-07T11:52:06.368,1527.0,2026-03-07T11:52:16.368,2026-03-07T11:53:06.369,2026-03-07T11:53:06.369,10.0,10.0,10.0,10.0,50.0,1,110.53501892089844,2026-03-07T11:52:41.369,archive/2026-03-07/standard_csv/raw_bytes_20260307_115243.csv,1,110.53501892089844
16,normal,16,5,1,50,10,60,5.000000,2026-03-07T11:53:06.369,2026-03-07T11:53:06.369,2026-03-07T11:53:07.549,1180.0,2026-03-07T11:53:17.549,2026-03-07T11:53:21.062,3513.0,2026-03-07T11:53:31.063,2026-03-07T11:53:31.063,2026-03-07T11:53:32.330,1267.0,2026-03-07T11:53:42.330,2026-03-07T11:54:32.330,2026-03-07T11:54:32.330,10.0,10.0,10.0,10.0,50.0,1,142.88461303710938,2026-03-07T11:54:07.330,archive/2026-03-07/standard_csv/raw_bytes_20260307_115409.csv,1,142.88461303710938
17,normal,17,5,1,67,13,80,5.153846,2026-03-07T11:54:32.331,2026-03-07T11:54:32.331,2026-03-07T11:54:33.563,1232.0,2026-03-07T11:54:43.563,2026-03-07T11:54:45.032,1469.0,2026-03-07T11:54:55.032,2026-03-07T11:54:55.032,2026-03-07T11:54:56.398,1366.0,2026-03-07T11:55:06.399,2026-03-07T11:55:56.399,2026-03-07T11:55:56.399,10.0,10.0,10.0,10.0,50.0,1,187.5617218017578,2026-03-07T11:55:31.399,archive/2026-03-07/standard_csv/raw_bytes_20260307_115533.csv,1,187.5617218017578
18,normal,18,5,1,83,17,100,4.882353,2026-03-07T11:55:56.399,2026-03-07T11:55:56.399,2026-03-07T11:55:58.153,1754.0,2026-03-07T11:56:08.154,2026-03-07T11:56:09.417,1263.0,2026-03-07T11:56:19.418,2026-03-07T11:56:19.418,2026-03-07T11:56:20.600,1182.0,2026-03-07T11:56:30.601,2026-03-07T11:57:20.601,2026-03-07T11:57:20.601,10.0,10.0,10.0,10.0,50.0,1,243.47052001953125,2026-03-07T11:56:55.601,archive/2026-03-07/standard_csv/raw_bytes_20260307_115657.csv,1,243.47052001953125
19,normal,19,7,1,9,1,10,9.000000,2026-03-07T11:57:20.602,2026-03-07T11:57:20.602,2026-03-07T11:57:23.139,2537.0,2026-03-07T11:57:33.140,2026-03-07T11:57:35.223,2083.0,2026-03-07T11:57:45.223,2026-03-07T11:57:45.223,2026-03-07T11:57:45.855,632.0,2026-03-07T11:57:55.855,2026-03-07T11:58:45.855,2026-03-07T11:58:45.855,10.0,10.0,10.0,10.0,50.0,1,24.224634170532227,2026-03-07T11:58:20.855,archive/2026-03-07/standard_csv/raw_bytes_20260307_115823.csv,1,24.224634170532227
20,normal,20,7,1,26,4,30,6.500000,2026-03-07T11:58:45.856,2026-03-07T11:58:45.856,2026-03-07T11:58:46.904,1048.0,2026-03-07T11:58:56.904,2026-03-07T11:58:58.376,1472.0,2026-03-07T11:59:08.377,2026-03-07T11:59:08.377,2026-03-07T11:59:09.057,680.0,2026-03-07T11:59:19.057,2026-03-07T12:00:09.057,2026-03-07T12:00:09.057,10.0,10.0,10.0,10.0,50.0,1,76.00691986083984,2026-03-07T11:59:44.057,archive/2026-03-07/standard_csv/raw_bytes_20260307_115946.csv,1,76.00691986083984
